symbol,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr
COBZ,3,85,265,0,2.00,2.00,2.00,2.00,2.00,4
GPOR,4,,,,,,,,,
FWV,0,,,,,,,,,
XWES,-1,,,,,,,,,
BSBR,4,,,,,,,,,
OXLCO,-1,,,,,,,,,
OXLCN,-1,,,,,,,,,
SABR,3,78,265,0,1.23,1.23,1.23,1.23,1.23,11
OPOF,0,,,,,,,,,
CTXS,3,152,265,0,2.35,2.35,2.35,2.24,2.24,26
OXLCP,-1,,,,,,,,,
MGIC,4,,,,,,,,,
FFBC,3,89,265,0,3.20,3.20,3.20,3.20,3.20,5
LEN/B,-1,,,,,,,,,
XRM,0,,,,,,,,,
INFY,3,167,265,0,2.56,2.56,2.56,2.40,2.56,9
XRA,0,,,,,,,,,
XRX,4,,,,,,,,,
XRS,3,163,265,0,1.50,1.50,1.50,1.50,1.50,4
PSO,3,115,265,0,2.50,2.50,2.50,2.50,2.50,4
JLS,-1,,,,,,,,,
PSB,4,,,,,,,,,
PSA,2,69,265,0,2.36,2.23,2.23,2.43,2.47,14
PSF,-1,,,,,,,,,
PSG,4,,,,,,,,,
ESYS,0,,,,,,,,,
KFRC,3,94,265,0,2.14,2.14,2.14,2.14,2.14,7
JLA,-1,,,,,,,,,
INWK,3,112,265,0,2.25,2.25,2.25,2.25,2.25,4
ASUR,3,94,265,0,1.00,1.00,1.00,1.00,1.00,1
GABC,3,89,265,0,2.60,2.60,2.60,2.50,2.50,5
BCO,3,69,265,0,2.00,2.00,2.00,2.00,3.00,2
BCH,4,,,,,,,,,
TRNO,4,,,,,,,,,
HNI,3,115,265,0,3.00,3.00,3.00,3.00,3.00,2
HNH,0,,,,,,,,,
HCACW,-1,,,,,,,,,
BCA,1,194,265,0,1.00,1.00,1.00,1.00,1.00,1
BCC,2,204,265,0,2.50,2.50,2.50,2.00,1.50,4
TRNX,2,78,265,0,2.00,2.00,2.00,2.10,1.64,9
ZIONW,-1,,,,,,,,,
HNR,0,,,,,,,,,
BCX,-1,,,,,,,,,
HNT,3,63,265,0,2.64,2.64,2.64,2.64,2.64,11
HNW,-1,,,,,,,,,
RIVR,0,,,,,,,,,
BCV,0,,,,,,,,,
TRNS,0,,,,,,,,,
BCR,2,78,265,0,3.00,3.00,2.95,2.95,2.95,13
RVSB,2,82,265,0,3.00,3.00,3.00,3.00,3.00,1
BAC/WS/A,-1,,,,,,,,,
OSGB,0,,,,,,,,,
SRC,3,177,265,0,1.79,1.79,1.79,1.79,1.79,7
SRF,-1,,,,,,,,,
ASRVP,-1,,,,,,,,,
SRE,3,81,265,0,1.95,1.95,1.86,1.68,1.68,10
SRI,3,111,265,0,3.00,3.00,3.00,3.00,2.33,4
ESCRP,-1,,,,,,,,,
SRV,0,,,,,,,,,
SRT,2,69,265,0,3.00,3.00,3.00,3.00,3.00,2
MYC,0,,,,,,,,,
TDJ,-1,,,,,,,,,
NMT,0,,,,,,,,,
NMR,0,,,,,,,,,
NMS,-1,,,,,,,,,
TDC,3,41,265,0,2.92,2.92,2.92,2.93,2.79,13
HLX,4,,,,,,,,,
TDG,2,107,265,0,1.63,1.63,1.63,1.56,1.70,8
TDF,0,,,,,,,,,
TDE,-1,,,,,,,,,
NMY,0,,,,,,,,,
TDY,2,107,265,0,2.50,2.33,2.33,2.33,2.33,6
BBDO,0,,,,,,,,,
NMA,0,,,,,,,,,
TDS,3,34,265,0,1.40,1.40,1.40,1.40,1.40,5
NMO,0,,,,,,,,,
NML,-1,,,,,,,,,
NMM,3,113,265,0,2.91,2.91,2.91,2.66,2.25,8
TDW,4,,,,,,,,,
NMI,0,,,,,,,,,
IFON,0,,,,,,,,,
RITT,0,,,,,,,,,
SYRX,3,167,265,0,1.50,1.50,1.50,1.50,1.50,2
SMFG,4,,,,,,,,,
LOR,-1,,,,,,,,,
FHY,-1,,,,,,,,,
LOW,2,115,265,0,2.11,2.11,2.11,2.11,2.21,19
ADUS,3,60,265,0,2.00,2.00,2.00,2.00,2.00,2
IKAN,3,10,265,0,NA,NA,NA,1.00,1.50,NA
GUID,3,152,265,0,2.20,2.20,1.80,1.80,1.40,5
CQB,-1,,,,,,,,,
QTEC,1,,,1,,,,,,
NTGR,3,41,265,0,2.67,2.67,2.67,2.67,2.75,3
EBF,0,,,,,,,,,
NOW,3,167,265,0,1.25,1.25,1.25,1.22,1.22,18
RJF,4,,,,,,,,,
RJD,-1,,,,,,,,,
EBR,0,,,,,,,,,
EBS,3,69,265,0,1.00,NA,NA,1.00,1.00,1
DRQ,4,,,,,,,,,
ABGB,1,102,265,0,1.00,3.00,3.00,3.00,3.00,1
GLNG,3,113,265,0,1.79,1.79,1.79,1.79,1.79,7
LFUS,3,111,265,0,2.00,2.00,2.00,2.00,2.00,4
DRI,2,41,265,0,2.30,2.30,2.40,2.37,2.42,20
DRH,2,69,265,0,2.27,2.27,2.27,2.27,2.27,11
DRL,0,,,,,,,,,
GPRE,3,158,265,0,2.00,2.00,1.75,1.75,1.75,5
DRA,-1,,,,,,,,,
DRC,4,,,,,,,,,
GPRO,2,165,265,0,2.50,2.50,2.50,2.64,2.80,12
DRD,0,,,,,,,,,
CONN,5,,,,,,,,,
KBAL,0,,,,,,,,,
NDRM,3,78,265,0,1.00,1.00,1.00,NA,NA,3
NDRO,5,,,,,,,,,
HEOP,3,85,265,0,1.67,1.67,1.67,1.67,1.67,3
CXP,4,,,,,,,,,
CXW,3,69,265,0,1.50,1.50,1.50,1.50,1.50,4
CXE,0,,,,,,,,,
RPRXZ,-1,,,,,,,,,
CXH,0,,,,,,,,,
RPRXW,-1,,,,,,,,,
CXO,5,,,,,,,,,
METR,0,,,,,,,,,
CVEO,3,50,265,0,3.00,3.00,3.00,3.00,3.00,3
AAON,0,,,,,,,,,
AAOI,3,99,265,0,1.00,1.00,1.00,1.00,1.00,4
OXGN,3,69,265,0,1.00,1.00,1.00,1.00,NA,2
GOF,-1,,,,,,,,,
NEPT,2,78,265,0,1.00,1.00,1.00,NA,NA,1
JAZZ,3,78,265,0,1.33,1.33,1.33,1.33,1.33,12
IBCP,3,89,265,0,2.00,2.00,2.00,2.00,2.00,2
CAPL,3,154,265,0,1.33,1.33,1.33,1.38,1.63,9
CAPN,0,,,,,,,,,
MLM,4,,,,,,,,,
DTSI,3,87,265,0,2.00,2.40,2.40,2.40,2.00,5
IBCA,0,,,,,,,,,
AQXP,3,94,265,0,1.00,1.00,1.00,1.00,1.00,2
CHDN,3,235,265,0,2.00,2.00,2.00,2.00,2.00,2
MPG,0,,,,,,,,,
MPB,0,,,,,,,,,
MPC,3,154,265,0,1.85,1.69,1.69,1.58,1.61,13
MPA,0,,,,,,,,,
AVT,3,194,265,0,2.00,2.00,2.00,2.00,2.00,7
MPO,2,245,265,0,2.64,2.64,2.64,2.40,2.78,11
AVV,-1,,,,,,,,,
AVP,4,,,,,,,,,
MPV,0,,,,,,,,,
WOOF,3,29,265,0,2.30,2.30,2.30,2.30,2.30,10
WOOD,0,,,,,,,,,
AVH,5,,,,,,,,,
AVK,0,,,,,,,,,
AVD,3,158,265,0,2.50,2.50,2.50,2.50,2.50,4
AVG,3,87,265,0,2.67,2.67,2.67,2.67,2.67,3
PSIX,4,,,,,,,,,
AVA,4,,,,,,,,,
AVB,3,177,265,0,1.83,2.00,2.00,2.00,2.00,12
AXTI,2,99,265,0,1.50,1.50,1.50,1.50,2.50,4
AXTA,3,158,265,0,1.75,1.86,NA,NA,NA,8
CEQP,3,175,265,0,2.44,2.44,2.44,2.44,2.44,9
ADHD,2,78,265,0,1.60,1.60,1.83,1.83,1.83,5
GGAC,-1,,,,,,,,,
ISIS,3,69,265,0,2.00,2.00,2.00,2.14,2.14,6
GGAL,1,194,265,0,1.67,1.67,2.00,2.00,2.00,3
EMIF,0,,,,,,,,,
ISIG,0,,,,,,,,,
HBCP,3,99,265,0,1.00,1.00,1.00,1.00,1.00,1
KANG,0,,,,,,,,,
ISIL,3,32,265,0,1.75,1.75,2.25,2.25,2.25,8
DGAS,3,81,265,0,3.00,3.00,3.00,3.00,3.00,1
GLRE,4,,,,,,,,,
SLAB,4,,,,,,,,,
INOD,2,52,265,0,3.00,3.00,3.00,3.00,3.00,1
FXCB,3,82,265,0,3.00,3.00,3.00,3.00,2.67,3
WHX,3,249,265,0,5.00,5.00,5.00,5.00,5.00,2
PTIE,3,78,265,0,1.00,1.00,1.00,1.00,1.00,1
WAYN,0,,,,,,,,,
REGI,2,47,265,0,1.67,1.67,1.67,2.00,2.00,3
HLT,2,50,265,0,1.44,1.56,1.56,1.65,1.65,16
LALT,0,,,,,,,,,
E,5,,,,,,,,,
MLHR,4,,,,,,,,,
GOGO,3,115,265,0,2.14,2.14,2.14,2.14,2.04,7
EVTC,3,171,265,0,2.50,1.67,1.67,1.33,1.33,6
YGE,4,,,,,,,,,
IPXL,1,94,265,0,3.00,3.00,3.00,3.00,2.75,8
PFBC,3,85,265,0,1.33,1.33,1.33,1.25,1.25,3
IILG,3,72,265,0,1.00,1.00,1.00,1.00,1.00,3
MBLY,3,111,265,0,1.78,1.78,1.78,2.00,2.00,9
MBLX,3,115,265,0,3.00,3.00,3.00,3.00,3.00,1
RRTS,3,24,265,0,1.50,1.50,1.50,1.50,1.50,8
PFBX,3,99,265,0,2.00,2.00,2.00,2.00,2.00,2
PBFX,2,175,265,0,1.50,1.50,1.50,1.50,1.67,4
SRSC,0,,,,,,,,,
ARTNA,3,63,265,0,3.00,3.00,2.50,2.50,2.50,3
CCOI,2,115,265,0,2.27,2.27,2.27,2.40,2.40,11
VAL,3,115,265,0,2.34,2.15,2.15,2.15,2.15,11
VAC,2,50,265,0,1.80,1.80,1.80,1.80,1.80,5
SKLNW,-1,,,,,,,,,
VAR,4,,,,,,,,,
EDF,-1,,,,,,,,,
RLH,0,,,,,,,,,
PSTR,0,,,,,,,,,
TAPR,0,,,,,,,,,
SBFG,0,,,,,,,,,
EDE,2,93,265,0,3.50,3.50,3.00,3.00,3.00,4
PSTB,3,99,265,0,2.17,2.17,2.17,2.17,2.00,6
HBOS,2,99,265,0,2.67,2.67,2.67,2.00,2.00,3
PSTI,2,69,265,0,1.67,1.67,1.67,1.67,2.00,3
LRCX,2,115,265,0,1.29,1.29,1.23,1.23,1.36,14
LMT,3,52,265,0,2.43,2.43,2.43,2.33,2.29,14
WNRL,3,175,265,0,1.00,1.00,1.00,1.00,1.00,3
HMTV,0,,,,,,,,,
VCEL,3,69,265,0,1.00,1.00,1.00,1.00,1.00,2
GALTU,-1,,,,,,,,,
GALTW,-1,,,,,,,,,
SGRP,0,,,,,,,,,
SFUN,3,112,265,0,1.67,1.67,1.67,1.67,1.67,6
UVV,0,,,,,,,,,
SNBC,3,82,265,0,1.50,1.50,1.50,1.33,1.33,2
FNGN,3,87,265,0,2.00,2.00,2.00,2.00,1.67,4
PCLN,4,,,,,,,,,
BRFS,3,161,265,0,2.00,2.33,2.33,1.67,1.50,4
NWLI,0,,,,,,,,,
UVE,1,32,265,0,2.00,2.00,2.00,2.00,NA,1
LITB,4,,,,,,,,,
DIOD,3,99,265,0,1.50,1.50,1.50,1.50,1.50,4
VALE/P,-1,,,,,,,,,
CFFI,0,,,,,,,,,
MD,2,29,265,0,1.77,1.77,1.77,1.77,1.77,13
MG,2,158,265,0,2.33,2.33,2.33,2.33,2.50,3
RWC,0,,,,,,,,,
MA,3,171,265,0,1.73,1.73,1.73,1.73,1.78,24
ALOG,1,12,265,0,2.33,2.33,2.33,2.33,2.33,3
MC,2,45,265,0,1.57,1.57,1.57,1.57,1.86,7
MM,3,184,265,0,3.00,3.00,3.00,3.00,3.00,1
MO,3,204,265,0,2.20,2.20,2.27,2.25,2.25,10
MN,5,,,,,,,,,
BLOX,3,152,265,0,2.33,2.33,2.56,2.50,2.50,9
MU,3,238,265,0,1.57,1.57,1.57,1.55,1.52,21
MT,3,208,265,0,1.83,1.83,1.83,1.50,1.17,6
MW,4,,,,,,,,,
RDEN,3,207,265,0,3.57,3.57,3.57,3.33,3.33,7
RWT,1,60,265,0,2.43,2.43,2.43,2.43,2.43,7
ALOT,0,,,,,,,,,
MR,3,89,265,0,2.17,2.17,2.17,2.00,2.20,4
PLMT,0,,,,,,,,,
MY,0,,,,,,,,,
MX,0,,,,,,,,,
HWBK,0,,,,,,,,,
DOM,0,,,,,,,,,
DOC,4,,,,,,,,,
COSI,0,,,,,,,,,
DOX,3,167,265,0,2.22,2.22,2.22,2.22,2.22,9
COST,3,47,265,0,1.92,1.92,1.92,1.83,1.83,20
DOV,3,221,265,0,2.82,2.82,2.82,2.00,2.00,11
LDRH,0,,,,,,,,,
SWIR,3,40,265,0,3.38,3.38,2.88,2.75,2.71,8
POWR,2,248,265,0,1.33,1.33,1.33,1.33,1.33,6
MSON,0,,,,,,,,,
POWL,3,177,265,0,3.00,3.00,2.00,2.00,2.00,2
GIFI,0,,,,,,,,,
SUSQ,3,82,265,0,3.33,3.33,3.33,3.29,2.80,6
VPFG,-1,,,,,,,,,
PUK,4,,,,,,,,,
INUV,3,72,265,0,1.50,1.50,1.50,1.50,1.50,2
THGA,-1,,,,,,,,,
EQY,3,60,265,0,3.10,3.10,2.90,2.90,2.82,10
LTRPB,0,,,,,,,,,
LTRPA,3,72,265,0,1.00,1.00,1.00,1.00,1.00,2
