symbol,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr
MFSF,3,82,265,0,3.00,3.00,3.00,3.00,3.00,3
GCTS,-1,,,,,,,,,
BASI,0,,,,,,,,,
RTGN,0,,,,,,,,,
KAI,1,221,265,0,1.50,1.50,1.50,1.50,1.50,2
FITBI,-1,,,,,,,,,
RHT,3,152,265,0,1.41,1.41,1.43,1.38,1.29,23
RHI,3,94,265,0,1.75,1.75,1.75,1.75,1.75,12
KAR,3,52,265,0,1.00,1.00,1.00,1.00,1.00,6
KAP,-1,,,,,,,,,
ABEV,3,208,265,0,2.30,2.30,2.30,2.30,1.90,5
WF,3,153,265,0,3.00,3.00,3.00,3.00,3.00,1
FCFS,3,156,265,0,2.33,2.67,2.67,2.67,2.67,6
BMRN,3,69,265,0,1.47,1.47,1.56,1.56,1.65,15
COLB,3,85,265,0,2.00,2.00,2.00,2.14,2.43,6
ACY,5,,,,,,,,,
BMRC,3,85,265,0,2.25,2.25,2.25,2.25,2.25,4
DMND,3,161,265,0,1.75,1.75,1.75,1.75,1.75,4
JCTCF,0,,,,,,,,,
EVOK,3,94,265,0,1.33,1.33,1.33,1.33,1.33,3
EVOL,2,10,265,0,1.00,1.00,1.00,2.00,1.00,2
OXY,5,,,,,,,,,
AEIS,3,115,265,0,1.75,1.75,2.75,2.75,2.80,4
OXM,4,,,,,,,,,
OXF,0,,,,,,,,,
CZZ,3,167,265,0,1.50,1.50,1.50,1.50,1.50,3
YELP,4,,,,,,,,,
CZR,2,235,265,0,4.25,4.25,4.25,4.25,4.25,4
HIG/WS,-1,,,,,,,,,
RGP,3,175,265,0,2.43,2.36,2.36,2.36,2.40,11
ATE,0,,,,,,,,,
CBST,2,78,265,0,3.04,3.04,3.04,2.21,2.14,13
ATO,2,81,265,0,2.13,2.13,2.13,2.13,2.00,8
ATL,3,187,265,0,4.00,4.00,4.00,4.00,4.00,1
MERU,0,,,,,,,,,
ATI,4,,,,,,,,,
ATV,0,,,,,,,,,
ATW,3,218,265,0,2.40,2.40,2.50,2.55,2.55,10
ATU,4,,,,,,,,,
ATR,2,24,265,0,2.57,2.57,2.57,2.57,2.57,7
CBSH,3,89,265,0,2.64,2.64,2.64,2.64,2.64,11
MERC,2,27,265,0,2.50,2.50,2.50,2.50,3.00,4
CVGW,3,115,265,0,2.00,2.00,2.00,2.33,2.33,2
AAME,0,,,,,,,,,
ENOC,4,,,,,,,,,
DAEG,0,,,,,,,,,
AAMC,0,,,,,,,,,
HTGC,3,107,265,0,2.30,2.22,2.13,2.00,2.00,10
TTEC,3,69,265,0,2.00,2.00,2.00,2.00,2.00,6
HTGY,-1,,,,,,,,,
HTGX,-1,,,,,,,,,
HTGZ,-1,,,,,,,,,
TTEK,3,191,265,0,1.90,1.90,1.90,1.90,2.00,10
LSCC,3,99,265,0,1.00,1.00,1.00,1.00,1.00,4
CARZ,3,,,1,,,,,,
CFN,4,,,,,,,,,
PNX,3,165,265,0,5.00,5.00,5.00,5.00,5.00,1
CARV,0,,,,,,,,,
CART,0,,,,,,,,,
NERV,3,78,265,0,1.00,1.00,1.00,1.00,1.00,3
CARO,0,,,,,,,,,
CARB,2,52,265,0,2.40,2.40,2.40,2.00,2.17,5
CARA,3,69,265,0,1.20,1.20,1.25,1.25,1.25,5
LBTYA,2,194,265,0,1.19,1.14,1.14,1.17,1.50,8
LBTYB,0,,,,,,,,,
LBTYK,0,,,,,,,,,
EUFN,3,,,1,,,,,,
BOTJ,0,,,,,,,,,
NANO,2,171,265,0,2.33,2.33,2.33,3.00,2.50,3
HBAN,3,89,265,0,2.47,2.47,2.47,2.47,2.47,16
BOTA,0,,,,,,,,,
SJR,5,,,,,,,,,
CGI,2,24,265,0,1.83,1.83,1.83,1.83,1.83,6
LMNX,2,89,265,0,3.29,3.29,3.29,3.29,3.00,7
LMNS,3,89,265,0,1.00,1.00,1.00,1.00,1.00,2
LMNR,4,,,,,,,,,
AZPN,3,152,265,0,2.00,2.00,2.00,2.00,1.80,4
VRNGW,-1,,,,,,,,,
SJI,3,81,265,0,2.25,2.25,2.25,2.25,2.25,4
GTLS,5,,,,,,,,,
ZAGG,2,111,265,0,2.20,2.20,2.20,2.20,2.20,5
ZSAN,-1,,,,,,,,,
SJM,3,161,265,0,2.73,2.73,2.73,2.73,2.55,11
FPRX,1,69,265,0,1.00,1.00,1.00,1.00,1.00,2
OHGI,0,,,,,,,,,
XIN,0,,,,,,,,,
XIV,0,,,,,,,,,
PETS,3,66,265,0,3.60,3.60,3.60,3.60,3.60,5
XPL,3,220,265,0,1.00,1.00,1.00,1.00,1.00,2
