symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
GG,N,3,114,265,,1.87,1.87,1.88,1.88,1.94,15,0.10,0.10,0.13,0.15,0.16
GE,N,5,207,265,,1.92,1.92,1.92,2.00,2.00,13,0.35,0.35,0.36,0.38,0.38
GM,N,3,114,265,,2.07,2.07,2.07,1.93,1.69,14,1.19,1.20,1.25,1.25,1.21
SAP,N,5,167,265,,2.38,2.38,2.38,2.33,2.33,13,0.64,0.64,0.77,0.74,0.75
JAH,N,3,158,265,,1.15,1.15,1.15,1.25,1.25,13,0.61,0.61,0.64,0.64,0.64
AAPL,O,2,196,265,,1.72,1.72,1.73,1.55,1.52,34,1.74,1.74,1.67,1.64,1.64
JDSU,O,3,67,265,,2.14,2.14,2.23,2.23,2.23,14,0.05,0.05,0.09,0.09,0.08
D,N,3,155,265,,1.75,1.75,1.75,1.88,1.81,14,0.72,0.72,0.76,0.71,0.72
HD,N,3,114,265,,2.00,2.00,2.00,1.95,1.95,19,1.70,1.69,1.69,1.69,1.71
JUNO,O,2,102,265,,1.67,1.67,1.67,1.67,1.67,3,-0.37,-0.37,-0.38,-0.38,-0.41
IR,N,3,224,265,,2.10,2.10,2.23,2.23,2.23,15,1.23,1.23,1.25,1.26,1.26
CLD,N,3,209,265,,1.88,1.88,1.88,1.88,1.77,12,-0.12,-0.12,-0.11,-0.10,-0.11
TRV,N,3,75,265,,2.65,2.65,2.76,2.68,2.68,17,2.08,2.07,2.09,2.11,2.12
QIHU,N,3,63,265,,1.57,1.57,1.67,1.67,1.60,7,0.58,0.58,0.58,0.58,0.88
PFE,N,3,172,265,,2.00,2.00,2.00,1.93,1.93,13,0.52,0.52,0.54,0.54,0.53
MJN,N,4,84,265,,2.30,2.30,2.30,2.30,2.30,10,0.89,0.89,0.96,0.96,0.96
BABA,N,3,67,265,,1.09,1.09,1.09,1.09,1.18,23,0.43,0.43,0.46,0.47,0.51
TSLA,O,4,114,265,,2.18,2.18,2.33,2.29,2.23,17,-1.39,-1.39,-0.72,-0.72,-0.72
ALXN,O,4,102,265,,1.16,1.16,1.17,1.28,1.28,16,1.23,1.23,1.27,1.27,1.27
MHK,N,2,63,265,,1.33,1.33,1.33,1.56,1.56,9,2.62,2.62,2.57,2.58,2.60
NVS,N,3,172,265,,1.75,1.75,1.75,1.75,1.75,8,1.12,1.12,1.21,1.21,NA
NKE,N,3,98,265,,1.79,1.79,1.79,1.93,1.80,21,0.84,0.84,0.84,0.85,0.90
CYOU,O,1,111,265,,3.75,3.75,3.74,3.74,3.74,4,0.51,0.51,0.58,0.58,0.58
CBI,N,3,237,265,,2.07,2.07,2.00,2.00,2.18,15,1.44,1.45,1.45,1.44,1.37
BLUE,O,3,102,265,,1.00,1.00,1.00,1.00,1.00,9,-0.96,-0.96,-0.71,-0.71,-0.71
KO,N,3,169,265,,2.37,2.37,2.37,2.37,2.37,15,0.60,0.60,0.60,0.61,0.61
JPM,N,3,67,265,,1.53,1.53,1.42,1.40,1.40,19,1.45,1.44,1.44,1.45,1.44
PLD,N,2,67,265,,1.57,1.57,1.57,1.59,1.59,15,0.51,0.51,0.51,0.50,0.50
SIVB,O,1,58,265,,1.46,1.46,1.57,1.57,1.57,13,1.44,1.44,1.40,1.39,1.39
T,N,3,80,265,,2.41,2.35,2.35,2.41,2.41,22,0.63,0.63,0.64,0.64,0.65
