symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
JNJ,N,3,50,265,,2.07,2.07,2.07,2.14,2.07,15,1.43,1.43,1.43,1.44,1.44
MRK,N,3,50,265,,2.00,2.00,2.00,2.00,2.00,14,0.90,0.90,0.90,0.91,0.91
DIS,N,3,170,265,,2.00,2.00,1.96,1.96,1.95,23,1.42,1.42,1.39,1.37,1.37
UTX,N,3,187,265,,1.91,1.91,1.91,1.72,1.59,16,1.49,1.49,1.49,1.53,1.52
AXP,N,3,91,265,,2.63,2.63,2.50,2.53,2.64,20,1.13,1.13,1.24,1.26,1.26
MSFT,O,3,87,265,,1.86,1.86,1.86,2.04,2.04,21,0.69,0.69,0.70,0.72,0.72
XOM,N,3,99,265,,2.62,2.49,2.59,2.74,2.75,15,0.77,0.77,0.73,0.81,0.94
UNH,N,3,64,265,,1.19,1.19,1.29,1.29,1.29,18,1.48,1.56,1.57,1.60,1.60
MCD,N,2,76,265,,2.18,2.18,2.18,2.33,2.33,22,1.22,1.22,1.16,1.15,1.15
PG,N,3,81,265,,2.40,2.43,2.40,2.40,2.47,20,0.98,0.98,1.00,1.02,1.06
CSCO,O,3,5,265,,1.85,1.85,1.85,1.92,1.88,26,0.50,0.50,0.50,0.50,0.50
CVX,N,3,99,265,,2.07,2.07,2.20,2.20,2.33,15,0.67,0.67,0.53,0.64,0.90
MMM,N,3,187,265,,2.44,2.44,2.44,2.44,2.44,12,1.71,1.71,1.88,1.88,1.89
IBM,N,3,232,265,,2.60,2.60,2.60,2.50,2.47,15,4.77,4.77,4.77,5.75,5.74
CAT,N,4,250,265,,2.88,2.88,2.88,2.88,2.60,16,0.72,0.72,0.71,0.95,0.96
BA,N,2,64,265,,1.80,1.80,1.75,1.75,1.67,15,2.12,2.12,2.18,2.33,2.33
V,N,4,50,265,,1.45,1.45,1.41,1.50,1.56,21,0.68,0.69,0.74,0.73,0.73
DD,N,4,179,265,,2.38,2.38,2.23,2.29,2.15,13,0.25,0.25,0.30,0.54,0.54
VZ,N,3,76,265,,1.91,1.91,1.91,1.96,1.92,23,0.88,0.88,0.87,0.88,0.88
WMT,N,3,197,265,,2.68,2.80,3.00,2.91,2.82,19,1.46,1.41,1.42,1.43,1.43
INTC,O,2,7,265,,1.98,1.98,1.98,1.95,2.14,31,0.63,0.63,0.63,0.60,0.60
GS,N,4,232,265,,2.50,2.50,2.64,2.77,3.08,14,4.79,4.79,4.80,5.16,5.28
GE,N,3,187,265,,1.82,1.90,1.90,2.00,2.00,11,0.52,0.52,0.52,0.54,0.54
AAPL,O,3,247,265,,1.68,1.68,1.70,1.79,1.77,31,3.26,3.26,3.18,3.15,3.21
HD,N,2,99,265,,1.94,1.94,1.94,1.94,1.94,18,1.09,1.10,1.10,1.10,1.10
TRV,N,2,46,265,,2.50,2.50,2.53,2.53,2.50,18,2.65,2.65,2.64,2.64,2.64
PFE,N,3,50,265,,1.71,1.71,1.65,1.92,1.92,12,0.51,0.51,0.50,0.50,0.49
NKE,N,1,182,265,,1.35,1.35,1.37,1.57,1.66,24,0.85,0.85,0.85,0.87,0.87
KO,N,3,94,265,,2.09,2.15,2.14,2.14,2.14,16,0.37,0.37,0.38,0.41,0.41
JPM,N,3,167,265,,1.50,1.59,1.59,1.67,1.67,16,1.32,1.32,1.32,1.46,1.46
