symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
GS,N,4,242,265,,2.50,2.50,2.64,2.92,2.93,14,4.79,4.79,5.12,5.34,5.28
GG,N,3,108,265,,1.69,1.69,1.69,1.69,1.69,18,0.04,0.04,0.06,0.07,0.08
GE,N,3,188,265,,1.90,1.90,1.82,2.00,2.00,10,0.52,0.52,0.54,0.54,0.53
GM,N,2,110,265,,2.00,2.00,1.92,1.92,1.92,13,1.18,1.18,1.13,1.15,1.15
SAP,N,3,83,265,,2.17,2.17,2.09,2.09,2.17,12,1.23,1.23,1.31,1.28,1.28
JAH,N,3,99,265,,1.13,1.14,1.15,1.15,1.15,15,1.20,1.20,1.24,1.24,1.24
AAPL,O,3,243,265,,1.68,1.61,1.81,1.79,1.83,31,3.26,3.26,3.18,3.15,3.21
VIAV,O,3,54,265,,2.17,2.17,2.17,2.23,2.29,12,0.02,0.02,0.06,0.06,0.06
D,N,3,144,265,,1.71,1.81,1.81,1.81,1.81,12,0.89,0.89,0.94,0.94,0.93
HD,N,2,69,265,,1.94,1.94,1.94,1.94,1.94,18,1.32,1.32,1.32,1.32,1.29
YHOO,O,3,69,265,,1.72,1.75,1.58,1.63,1.63,29,0.04,0.04,0.10,0.10,0.10
ADI,O,3,169,265,,1.68,1.68,1.68,1.71,1.75,22,0.84,0.84,0.84,0.84,0.79
JUNO,O,3,83,265,,1.40,1.40,1.33,1.40,1.33,5,-0.54,-0.52,-0.52,-0.52,-0.53
QUNR,O,3,69,265,,2.00,2.00,1.50,1.40,1.80,4,-1.18,-1.18,-1.18,-1.18,-1.08
PANW,N,3,54,265,,1.60,1.60,1.60,1.54,1.54,26,-0.16,-0.16,-0.16,-0.16,-0.11
IR,N,3,228,265,,1.83,1.83,1.83,1.83,1.83,15,0.93,0.93,0.97,0.99,0.99
CLD,N,2,164,265,,2.80,2.80,2.64,2.50,2.25,10,-0.15,-0.15,-0.12,-0.10,-0.10
CTRP,O,3,105,265,,1.00,1.00,1.00,1.18,1.33,11,0.07,0.07,0.11,0.17,0.16
TRV,N,2,40,265,,2.50,2.50,2.53,2.50,2.50,18,2.65,2.65,2.59,2.64,2.64
QIHU,N,3,99,265,,1.33,1.33,1.33,1.57,1.57,6,0.71,0.71,0.71,0.71,0.76
PFE,N,3,61,265,,1.71,1.71,1.81,1.92,1.92,12,0.51,0.51,0.50,0.50,0.49
MJN,N,5,150,265,,2.27,2.27,2.20,2.22,2.22,11,0.73,0.73,0.95,0.96,0.96
BABA,N,3,105,265,,1.42,1.40,1.36,1.33,1.33,19,0.64,0.64,0.61,0.63,0.64
TSLA,O,4,110,265,,3.00,3.00,2.88,2.63,2.73,15,-0.76,-0.76,-0.47,-0.18,-0.66
ALXN,O,3,83,265,,1.43,1.43,1.41,1.47,1.35,15,0.92,0.92,1.11,1.11,1.20
MHK,N,3,219,265,,1.38,1.38,1.38,1.38,1.38,8,2.73,2.75,2.81,2.80,2.80
NVS,N,3,61,265,,1.75,1.75,1.75,1.75,1.75,8,1.29,1.29,1.45,1.45,1.45
NKE,N,2,226,265,,1.35,1.35,1.46,1.66,1.79,24,0.85,0.85,0.84,0.87,0.87
CYOU,O, ,96,265,,3.92,3.92,3.92,4.00,4.00,4,0.54,0.54,0.53,0.70,0.70
CBI,N,3,192,265,,2.00,2.00,1.93,1.93,1.93,13,1.33,1.35,1.57,1.57,1.57
NVDA,O,1,12,265,,2.29,2.29,2.41,2.32,2.41,21,0.33,0.32,0.27,0.27,0.27
BLUE,O,3,83,265,,1.04,1.04,1.05,1.20,1.00,12,-1.16,-1.16,-1.02,-1.02,-1.03
KO,N,3,89,265,,2.15,2.15,2.14,2.14,2.14,17,0.37,0.37,0.40,0.41,0.41
KR,N,2,210,265,,1.75,1.75,1.81,1.81,1.81,14,0.39,0.39,0.39,0.39,0.38
JPM,N,3,147,265,,1.59,1.59,1.59,1.67,1.72,17,1.32,1.32,1.34,1.46,1.46
PLD,N,3,66,265,,1.25,1.13,1.13,1.17,1.30,16,0.62,0.62,0.62,0.61,0.61
SIVB,O,3,89,265,,1.35,1.46,1.46,1.33,1.50,13,1.53,1.53,1.63,1.64,1.64
T,N,2,43,265,,1.81,1.81,1.86,1.83,1.83,21,0.63,0.62,0.62,0.62,0.62
CRUS,O,3,94,265,,1.40,1.40,1.67,1.67,1.67,5,0.92,0.92,0.83,0.83,0.83
RDS.A,N,3,99,265,,1.56,1.56,1.56,1.70,1.82,9,0.77,0.75,0.65,0.70,0.79
