symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
JNJ,N,3,165,265,,2.06,2.06,2.06,2.13,2.13,16,1.71,1.71,1.73,1.73,1.73
MRK,N,3,165,265,,2.08,2.08,2.08,2.00,2.00,13,0.79,0.79,0.80,0.80,0.80
DIS,N,1,117,265,,1.91,2.00,2.08,1.95,1.95,22,1.44,1.42,1.42,1.42,1.42
UTX,N,3,204,265,,1.57,1.57,1.57,1.57,1.59,15,1.75,1.75,1.80,1.82,1.82
AXP,N,3,176,265,,2.59,2.55,2.45,2.53,2.38,23,1.32,1.32,1.39,1.39,1.47
MSFT,O,3,157,265,,2.13,2.20,2.32,2.29,2.13,24,0.57,0.57,0.64,0.65,0.66
XOM,N,3,117,265,,2.79,2.81,2.81,2.81,2.62,13,0.84,0.83,0.81,0.84,0.81
UNH,N,2,25,265,,1.35,1.44,1.45,1.55,1.55,17,1.55,1.55,1.52,1.51,1.51
MCD,N,4,48,265,,2.45,2.50,2.50,2.45,2.42,22,1.24,1.24,1.29,1.30,1.31
PG,N,3,34,265,,2.53,2.37,2.33,2.33,2.16,19,0.94,0.94,0.97,0.98,0.97
CSCO,O,3,204,265,,1.69,1.64,1.69,1.70,1.72,26,0.48,0.48,0.48,0.48,0.47
CVX,N,3,117,265,,2.14,2.14,2.14,2.23,2.21,14,0.92,0.88,0.80,0.85,0.89
MMM,N,4,204,265,,2.38,2.38,2.38,2.38,2.38,14,2.01,2.01,2.07,2.07,2.07
IBM,N,3,197,265,,2.76,2.76,2.78,2.76,2.76,17,3.82,3.82,3.97,3.97,3.96
CAT,N,3,189,265,,2.67,2.58,2.58,2.58,2.53,18,1.25,1.25,1.39,1.40,1.40
BA,N,3,212,265,,1.82,1.78,1.78,1.59,1.56,17,2.05,2.05,2.08,2.08,2.09
V,N,3,117,265,,1.50,1.52,1.48,1.52,1.44,23,0.59,0.60,0.65,0.65,0.65
DD,N,3,114,265,,2.47,2.60,2.60,2.40,2.27,15,1.30,1.30,1.39,1.38,1.39
VZ,N,2,92,265,,1.67,1.61,1.61,1.55,1.67,24,1.00,1.00,0.94,0.94,0.94
WMT,N,4,85,265,,2.76,2.76,2.76,2.75,2.65,21,1.03,1.03,1.03,1.03,1.13
INTC,O,3,189,265,,2.04,2.18,2.14,2.20,2.20,32,0.52,0.52,0.48,0.56,0.56
GS,N,2,117,265,,2.67,2.71,2.73,2.71,2.73,15,3.72,3.69,3.61,3.75,3.77
GE,N,4,204,265,,1.92,2.00,2.00,2.00,2.08,13,0.35,0.35,0.38,0.38,0.38
AAPL,O,2,189,265,,1.72,1.66,1.53,1.52,1.52,34,1.74,1.74,1.64,1.65,1.64
HD,N,3,117,265,,2.00,1.95,1.95,1.95,1.95,19,1.15,1.15,1.14,1.14,1.15
TRV,N,3,112,265,,2.65,2.67,2.68,2.68,2.57,17,2.07,2.07,2.11,2.11,2.12
PFE,N,3,165,265,,2.00,1.93,1.93,1.85,1.92,13,0.52,0.52,0.54,0.54,0.53
NKE,N,3,101,265,,1.79,1.84,1.93,1.88,1.88,21,0.84,0.84,0.85,0.90,0.90
KO,N,3,199,265,,2.37,2.37,2.37,2.32,2.23,15,0.60,0.60,0.60,0.61,0.61
JPM,N,3,65,265,,1.42,1.42,1.40,1.42,1.40,19,1.44,1.44,1.45,1.45,1.44
