symbol,pricesale,marketcap,avgvol,px,peg
LPG,8.66,829500000.0,93809.0,14.52,1.98
BBRY,1.63,5540000000.0,9369540.0,10.48,-2.76
KMB,2.09,40510000000.0,1546000.0,111.25,2.83
VRX,9.33,81350000000.0,2865870.0,237.53,0.0
NOK,1.79,26160000000.0,29394900.0,7.22,2.52
GS,2.58,93700000000.0,2393370.0,207.8,1.29
GG,4.27,15210000000.0,7690560.0,18.33,3.58
GE,1.94,278900000000.0,44627500.0,27.68,2.52
GM,0.37,57380000000.0,14551000.0,35.7,0.44
SAP,4.41,89280000000.0,1004560.0,74.71,1.77
JAH,1.25,10440000000.0,1207530.0,54.23,1.6
AAPL,3.57,763570000000.0,50914500.0,132.54,1.11
JDSU,1.73,2990000000.0,2452740.0,12.79,1.68
D,3.47,42410000000.0,2512780.0,71.97,3.3
HD,1.76,146640000000.0,5006640.0,112.16,1.58
JUNO,0.0,0.0,1477920.0,46.78,0.0
IR,1.41,18340000000.0,1678270.0,69.27,1.74
CLD,0.29,371400000.0,1837760.0,6.16,3.85
TRV,1.21,32740000000.000004,2002150.0,102.73,1.95
QIHU,5.1,7130000000.0,3211680.0,55.26,0.46
PFE,4.31,211080000000.0,26034500.0,34.28,5.33
MJN,4.51,19850000000.0,1153770.0,98.0,2.65
BABA,19.11,232760000000.0,18533900.0,93.27,1.15
TSLA,8.79,31200000000.0,5095010.0,247.73,49.98
ALXN,14.84,34320000000.0,1731470.0,171.94,2.26
MHK,1.75,13680000000.0,631653.0,187.18,0.93
NVS,4.81,251350000000.0,1314160.0,103.85,2.6
GOOG,5.46,368580000000.0,1786460.0,540.11,1.25
NKE,2.97,89780000000.0,3277730.0,104.43,2.42
CYOU,2.22,1760000000.0,178500.0,33.45,0.25
CBI,0.47,6120000000.0,2157880.0,56.31,1.04
BLUE,223.26,5860000000.0,765025.0,178.38,-0.25
KO,3.9,179620000000.0,14200500.0,41.21,4.27
JPM,2.69,246640000000.0,15023400.0,66.47,1.49
PLD,10.98,21110000000.0,3302550.0,40.28,2.2
SIVB,5.44,6880000000.0,339075.0,134.56,1.9
T,1.37,180250000000.0,28117300.0,34.71,3.09
