

====  scan_st_sma_st_dmi_  =====

symbol      px    ma50   ma200  ma10s  ma10b  dmi_dif  dmi_buy
   COH   33.97   31.50   33.69      2      0     1.96       12
   KMB  129.08  122.09  113.03     16     13     1.66       13


====  scan_st_perf_  =====

symbol      px   p1d   p1w   p4w   p12w   p24w   pmax
   MCD  117.39  0.60 -0.16  3.23  22.01  23.21  43.95
    PG   76.73  0.08 -2.09  1.24  13.75  -3.12  21.47
    KO   42.37  1.90 -0.07 -0.94  12.06   4.63  23.37


====  scan_st_perf_  =====

symbol      px   p1d   p1w    p4w   p12w   p24w    pmax
  FSLR   65.42 -0.30 -0.86  12.44  34.08  15.24  104.50
   KMB  125.71  0.38 -1.25   4.54  21.70  16.63   66.99
   TSN   52.72  0.80 -1.14   4.09  21.93  29.20  170.99


====  scan_st_perf_  =====

symbol      px   p1d   p1w    p4w   p12w   p24w    pmax
  FSLR   66.14  1.10 -0.87  10.84  43.16  16.94  106.75
   TSN   53.32  1.14  0.68   5.42  23.51  28.80  174.07
   KMB  126.17  0.36 -0.25   5.34  22.46  15.77   67.60


====  scan_st_sma_  =====

symbol      px  ma50s  ma50b
     T   34.57     11      5   1/26/2016
  CRUS   27.01     19      8   1/27/2016


====  scan_st_sma_ms_zack_  =====

symbol      px  ma50s  ma50b         erd
     A   37.97      9      5   2/16/2016
   MRK   51.36      3      1    2/3/2016
  VNTV   44.69     47      3   2/11/2016
  CTXS   67.45      8      1   1/27/2016
  COST  153.68     97      5   12/8/2015
  CIEN   18.00     97      5  12/10/2015
  BMRN   84.72     97      4  10/29/2015
   DIS   96.91     44      5    2/2/2016
   AZN   31.46     97      5    2/4/2016
   BMY   64.39     19      7   1/28/2016
  MSFT   52.28     33      5   1/28/2016
   ACN  102.26     19      5  12/17/2015
  GILD   91.83    104      1    2/2/2016
   XOM   76.56      4      0    2/1/2016
   AAL   40.16     44      6   1/26/2016
   AAP  144.39      8      0   2/11/2016
   BID   23.75      8      5   11/9/2015
   CRM   71.57     96      1  11/18/2015
  SBUX   59.27     19      3   1/21/2016
   PSX   80.01     12      5    2/4/2016
    FB   97.94    100      5   1/27/2016
  ERIC    9.34     25      5   1/26/2016
  AMZN  596.60      9      5    2/4/2016
   MON   91.89      8      6    1/6/2016
   CVX   83.54     22      5   1/29/2016
   CVS   95.62      9      5    2/9/2016
   BSX   17.84     11      5    2/3/2016
   CAR   26.09     96      5   2/17/2016
     F   12.14      3      1   1/28/2016
   MMM  139.49      4      2   1/26/2016
   EMC   24.45      9      1   1/27/2016
   PEP   95.83     98      4   2/10/2016
   AIG   56.37     96      1   2/11/2016
  MNST  144.22     19      1   11/5/2015
   CAT   60.97    100      5   1/26/2016
   DOW   43.22      4      2    2/2/2016
  ARLP   12.41     63      5   1/27/2016
  SBAC   94.09     75      0   11/4/2015
   GSK   40.03     24      5    2/3/2016
   LLY   82.51     32      7   1/28/2016
  ORCL   34.79      9      5  12/16/2015
  LNKD  199.40     78      4    2/4/2016
     V   72.70     45      2    2/4/2016
    CL   64.61     19      7    2/4/2016
   WMT   62.68      9      5   2/18/2016
  FEYE   16.03     81      1   2/10/2016
   USB   39.37      4      2   1/15/2016
   PXD  113.65      8      5   2/10/2016
   HCA   65.83     36      5    2/2/2016
   BLK  300.62     96      1   1/15/2016
  FOXA   26.38     19      3    2/3/2016
   LVS   39.05     23      5   1/27/2016
   MDT   75.93     24      7   2/16/2016
  ILMN  176.83     19      7   1/26/2016
   KMB  126.72     25      5   1/25/2016
   NOK    7.26      4      2    2/4/2016
