symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
JNJ,N,,,,,,,,,,,,,,,
MRK,N,,,,,,,,,,,,,,,
DIS,N,,,,,,,,,,,,,,,
UTX,N,,,,,,,,,,,,,,,
AXP,N,,,,,,,,,,,,,,,
MSFT,O,,,,,,,,,,,,,,,
XOM,N,,,,,,,,,,,,,,,
UNH,N,,,,,,,,,,,,,,,
MCD,N,,,,,,,,,,,,,,,
PG,N,,,,,,,,,,,,,,,
CSCO,O,,,,,,,,,,,,,,,
CVX,N,,,,,,,,,,,,,,,
MMM,N,,,,,,,,,,,,,,,
IBM,N,,,,,,,,,,,,,,,
CAT,N,,,,,,,,,,,,,,,
BA,N,,,,,,,,,,,,,,,
V,N,,,,,,,,,,,,,,,
DD,N,,,,,,,,,,,,,,,
VZ,N,,,,,,,,,,,,,,,
WMT,N,,,,,,,,,,,,,,,
INTC,O,,,,,,,,,,,,,,,
GS,N,,,,,,,,,,,,,,,
GE,N,,,,,,,,,,,,,,,
AAPL,O,,,,,,,,,,,,,,,
HD,N,,,,,,,,,,,,,,,
TRV,N,,,,,,,,,,,,,,,
PFE,N,,,,,,,,,,,,,,,
NKE,N,,,,,,,,,,,,,,,
KO,N,,,,,,,,,,,,,,,
JPM,N,,,,,,,,,,,,,,,
