,symbol,param,alpha,beta,perf,max_drawdown,profit_order,loss_order,last_trade,bh_profit,mark
16,COH,t=5&h=11,-0.218,0.212,-2384.776584456149,0.247,2.0,5.0,2014-12-18  buy  0  36.36,-3013.65,"px=37.88,avgTyp=37.97,avgHac=37.49"
11,C,t=5&h=6,-0.231,0.211,-2167.1728623644185,0.254,2.0,14.0,2015-01-06  sell -389.27  51.67,-448.73,"px=50.02,avgTyp=51.04,avgHac=51.61"
21,C,t=6&h=7,-0.215,0.183,-2065.895476338642,0.244,2.0,11.0,2015-01-06  sell -493.46  51.67,-448.73,"px=50.02,avgTyp=51.23,avgHac=51.78"
3,C,t=4&h=8,-0.207,0.165,-2031.7585686276516,0.259,2.0,10.0,2015-01-06  sell -496.69  51.67,-448.73,"px=50.02,avgTyp=50.84,avgHac=51.93"
1,GE,t=4&h=6,-0.273,0.503,-2020.8108856339995,0.223,3.0,12.0,2015-01-02  sell -198.6  25.18,-986.02,"px=23.86,avgTyp=24.08,avgHac=24.34"
11,GE,t=5&h=6,-0.27,0.518,-1978.8816880623554,0.219,3.0,12.0,2015-01-02  sell -199.86  25.18,-986.02,"px=23.86,avgTyp=24.15,avgHac=24.34"
44,GE,t=8&h=15,-0.268,0.554,-1935.3876461215332,0.23,1.0,9.0,2014-12-03  sell  183.59  26.03,-986.02,"px=23.86,avgTyp=24.34,avgHac=24.76"
11,LITB,t=5&h=6,-0.161,-0.055,-1900.7576429652381,0.443,3.0,9.0,2015-01-09  buy  0  6.41,-2427.88,"px=6.30,avgTyp=6.37,avgHac=6.37"
4,LITB,t=4&h=9,-0.152,-0.093,-1754.5551963430762,0.43,3.0,7.0,2015-01-09  buy  0  6.41,-2427.88,"px=6.30,avgTyp=6.37,avgHac=6.36"
49,GOOG,t=9&h=14,-0.119,0.086,-1736.5052470792052,0.175,1.0,6.0,2015-01-06  sell -420.01  508.55,-1249.03,"px=496.18,avgTyp=505.00,avgHac=511.84"
49,QCOM,t=9&h=14,-0.19,0.07,-1735.6764318673686,0.266,1.0,6.0,2014-12-19  buy  0  73.41,232.79,"px=72.97,avgTyp=73.96,avgHac=73.92"
50,QCOM,t=9&h=15,-0.19,0.07,-1735.6764318673686,0.266,1.0,6.0,2014-12-19  buy  0  73.41,232.79,"px=72.97,avgTyp=73.96,avgHac=73.89"
43,QCOM,t=8&h=14,-0.187,0.088,-1696.852909349307,0.262,1.0,7.0,2014-12-19  buy  0  73.41,232.79,"px=72.97,avgTyp=73.95,avgHac=73.92"
44,GOOG,t=8&h=15,-0.102,0.098,-1619.9060305174407,0.177,0.0,6.0,2015-01-06  sell -420.01  508.55,-1249.03,"px=496.18,avgTyp=503.81,avgHac=512.51"
38,LITB,t=8&h=9,-0.133,-0.097,-1603.9055462335991,0.415,2.0,8.0,2015-01-09  buy  0  6.41,-2427.88,"px=6.30,avgTyp=6.36,avgHac=6.36"
50,GOOG,t=9&h=15,-0.091,0.124,-1532.2627456672817,0.169,0.0,6.0,2015-01-06  sell -420.01  508.55,-1249.03,"px=496.18,avgTyp=505.00,avgHac=512.51"
2,VZ,t=4&h=7,-0.141,-0.076,-1532.0320315202116,0.165,4.0,11.0,2015-01-09  buy  0  46.98,181.27,"px=47.18,avgTyp=47.02,avgHac=46.85"
47,VZ,t=9&h=12,-0.124,-0.234,-1459.8151763161513,0.157,2.0,8.0,2015-01-13  buy  0  47.35,181.27,"px=47.18,avgTyp=46.84,avgHac=46.79"
5,XOM,t=4&h=10,-0.178,0.31,-1457.863556803677,0.155,1.0,8.0,2015-01-06  sell -330.06  90.12,-827.56,"px=90.00,avgTyp=90.78,avgHac=91.38"
14,XOM,t=5&h=9,-0.178,0.31,-1457.863556803677,0.155,1.0,8.0,2015-01-06  sell -330.06  90.12,-827.56,"px=90.00,avgTyp=90.89,avgHac=91.35"
34,VZ,t=7&h=12,-0.122,-0.229,-1429.7349666490136,0.154,2.0,8.0,2015-01-13  buy  0  47.35,181.27,"px=47.18,avgTyp=46.89,avgHac=46.79"
44,A,t=8&h=15,-0.126,0.029,-1350.6573482533877,0.185,2.0,5.0,2015-01-06  sell -438.38  39.51,-224.91,"px=39.55,avgTyp=40.27,avgHac=40.51"
50,A,t=9&h=15,-0.126,0.029,-1350.6573482533877,0.185,2.0,5.0,2015-01-06  sell -438.38  39.51,-224.91,"px=39.55,avgTyp=40.30,avgHac=40.51"
11,XOM,t=5&h=6,-0.181,0.441,-1335.0354967423536,0.152,3.0,9.0,2015-01-06  sell -333.53  90.12,-827.56,"px=90.00,avgTyp=90.89,avgHac=91.17"
38,SOHU,t=8&h=9,-0.153,0.135,-1323.6946971676407,0.302,5.0,5.0,2015-01-08  sell  283.44  51.32,-2782.21,"px=50.64,avgTyp=51.14,avgHac=51.29"
1,SOHU,t=4&h=6,-0.158,0.174,-1313.946683081771,0.29,5.0,6.0,2015-01-07  sell  252.98  51.05,-2782.21,"px=50.64,avgTyp=50.90,avgHac=51.20"
30,SOHU,t=7&h=8,-0.153,0.142,-1297.8451090996605,0.3,5.0,6.0,2015-01-08  sell  285.12  51.32,-2782.21,"px=50.64,avgTyp=51.10,avgHac=51.27"
12,MA,t=5&h=7,-0.151,0.22,-1296.111121760402,0.257,2.0,13.0,2015-01-05  sell -374.37  84.08,328.84,"px=83.55,avgTyp=84.24,avgHac=84.66"
43,A,t=8&h=14,-0.12,0.048,-1294.8615813481229,0.18,2.0,5.0,2015-01-06  sell -503.67  39.51,-224.91,"px=39.55,avgTyp=40.27,avgHac=40.49"
3,BA,t=4&h=8,-0.135,0.196,-1258.3993118310336,0.212,3.0,11.0,2015-01-09  buy  0  131.58,-159.05,"px=131.17,avgTyp=131.20,avgHac=130.61"
13,BA,t=5&h=8,-0.125,0.185,-1171.5406769296096,0.204,3.0,11.0,2015-01-09  buy  0  131.58,-159.05,"px=131.17,avgTyp=131.06,avgHac=130.61"
