,symbol,param,alpha,beta,perf,max_drawdown,profit_order,loss_order,last_trade,bh_profit,mark
50,BABA,k1=0.6&k2=0.1&cl=10,,,0.0,0.0,0.0,0.0,"",757.27,
51,WB,k1=0.6&k2=0.1&cl=10,,,0.0,0.0,0.0,0.0,"",-2855.73,
57,GOOG,k1=0.6&k2=0.1&cl=10,,,0.0,0.0,0.0,0.0,"",-798.45,
35,BAC,k1=0.8&k2=0.3&cl=55,0.03938410373060539,0.1775377032364004,589.3417610836641,0.5624531810327144,4.0,5.0,2014-10-29  sell  1032.99  16.82,5517.86,
44,BBRY,k1=0.9&k2=0.2&cl=15,0.14840524574321895,0.003684453545978463,1061.7631018769234,0.5751819290314606,4.0,4.0,2014-12-22  buy  0  10.42,-8321.11,
49,LITB,k1=0.9&k2=0.1&cl=10,0.053046050114634806,-0.6042818293246917,1490.9706197278192,0.10786234211611066,1.0,0.0,2013-10-11  sell  1490.97  11.19,-3367.98,
9,KO,k1=0.9&k2=0.1&cl=55,0.030258911069191465,0.11528074942804091,1815.392129696298,0.13023714880693377,6.0,3.0,2014-12-19  sell -145.09  42.27,4959.18,
7,XOM,k1=0.9&k2=0.4&cl=55,-0.012229934635860694,0.41237085001328777,1839.7189555200403,0.21764734577376216,5.0,3.0,2014-12-22  sell -684.91  93.1,1973.21,
3,CVX,k1=0.7&k2=0.4&cl=55,-0.0114487905713717,0.5007604527577233,2069.150210677879,0.19324456326830408,4.0,6.0,2014-12-19  sell -447.83  110.98,1555.65,
17,GSK,k1=0.6&k2=0.3&cl=50,-0.019243813683518764,0.5032259240254302,2418.192878095577,0.14874469917822034,4.0,6.0,2014-10-23  sell -898.32  44.64,1742.79,
74,IBM,k1=0.9&k2=0.4&cl=25,0.0073682347750702384,0.3814388277981948,2452.218358433587,0.16239959275942487,7.0,3.0,2014-11-06  buy  0  161.08,531.49,
75,QCOM,k1=0.8&k2=0.4&cl=55,0.03803239572732758,0.33531232770694164,3004.143835569681,0.15768278216530232,5.0,3.0,2014-11-25  sell -1394.22  71.55,3836.8,
34,C,k1=0.6&k2=0.4&cl=10,0.04636352649825316,0.2989560422511779,3205.578992350429,0.46293625355070084,9.0,8.0,2014-12-23  buy  0  54.31,3663.55,
64,TWTR,k1=0.7&k2=0.2&cl=55,0.4198521267694948,0.0016425690386145863,3316.908760027198,0.21892701790658203,1.0,0.0,2014-12-11  buy  0  36.66,-664.61,
69,T,k1=0.9&k2=0.1&cl=25,0.057497453910011695,0.1396722087852518,3415.2155725411794,0.09911058238168739,6.0,4.0,2014-12-23  buy  0  33.56,3028.75,
4,WMT,k1=0.9&k2=0.1&cl=10,0.07741452425173327,0.06426033737984072,3569.7100651401015,0.12815514255407862,7.0,6.0,2014-12-12  sell  1245.95  83.96,8204.04,
41,ERIC,k1=0.6&k2=0.1&cl=55,0.03609059817761201,0.1746425228484498,3580.0572487152804,0.2506033002926545,5.0,4.0,2014-11-17  buy  0  12.08,2521.01,
1,DOW,k1=0.6&k2=0.2&cl=55,0.061760720094863435,0.3543943452450549,3636.6045021973587,0.4458181059327687,6.0,5.0,2014-12-23  sell -1164.85  45.49,9192.01,
68,CSCO,k1=0.7&k2=0.1&cl=35,0.09133198185564004,0.1856695537242546,3892.333411569105,0.291150951884987,5.0,5.0,2014-11-03  buy  0  24.35,5117.32,
12,MCD,k1=0.7&k2=0.4&cl=40,0.06089289273822849,0.27133461367417666,4333.282005185654,0.09075290617988443,5.0,5.0,2014-12-19  sell  44.22  93.5,4091.67,
46,SOHU,k1=0.8&k2=0.4&cl=15,0.1325924754352115,0.08393815309875227,4426.569332940317,0.354595565669511,5.0,4.0,2014-10-23  buy  0  43.53,-2323.17,
24,PFE,k1=0.6&k2=0.3&cl=50,0.06569542982708032,0.4190458186960555,4495.947448427087,0.15050340529837375,7.0,2.0,2014-11-05  buy  0  30.19,8503.56,
47,CYOU,k1=0.7&k2=0.1&cl=10,0.29008354143409576,0.08748510721922473,4787.735937957103,0.5283637480710027,6.0,7.0,2014-10-27  buy  0  18.02,1519.9,
77,COH,k1=0.6&k2=0.1&cl=45,0.09504890949690332,0.15714833325635238,4810.022684472886,0.37935839057471976,4.0,6.0,2014-10-15  sell -1493.92  34.97,1033.34,
38,GM,k1=0.8&k2=0.4&cl=10,0.1467053417380057,0.17589461721437158,4906.491979443179,0.24537075621336657,6.0,3.0,2014-12-18  sell  471.68  31.58,5063.62,
20,JNJ,k1=0.9&k2=0.4&cl=25,0.038814378705999845,0.43416832452358245,4928.84835604322,0.11223646812497903,7.0,3.0,2014-12-18  sell  352.31  106,8059.86,
