Company Name,Ticker,Focus,Industry 
VTTI Energy Partners LP,VTTI.N,,Oil &amp; Gas Storage &amp; Transportation 
VWR,VWR.O,,Life Sciences Tools &amp; Services 
Walgreens Boots Alliance Inc,WBA.O,,Drug Retail 
Wesco International,WCC.N,,Trading Companies &amp; Distributors 
Western Digital,WDC.O,,"Technology Hardware, Storage &amp; Peripherals" 
Westlake Chemical Corp.,WLK.N,,Commodity Chemicals 
WhiteWave Foods,WWAV.N,,Packaged Foods &amp; Meats 
William Lyon Homes,WLH.N,,Homebuilding 
Williams Partners L.P.,WPZ.N,,Oil &amp; Gas Storage &amp; Transportation 
WuXi PharmaTech,WX.N,,Life Sciences Tools &amp; Services 
Wyndham Worldwide,WYN.N,,"Hotels, Resorts &amp; Cruise Lines" 
Wynn Resorts,WYNN.O,,Casinos &amp; Gaming 
Yahoo Inc,YHOO.O,Yes,Internet Software &amp; Services 
Yelp Inc.,YELP.N,,Internet Software &amp; Services 
Zebra Technologies,ZBRA.O,,Electronic Equipment &amp; Instruments 
Zimmer Holdings,ZMH.N,,Health Care Equipment 
Zoetis,ZTS.N,,Pharmaceuticals 
ZS Pharma,ZSPH.O,,Pharmaceuticals 