Company Name,Ticker,Focus,Industry 
EPR Properties,EPR.N,Yes,Specialized REIT's 
EQT Corporation,EQT.N,,Oil &amp; Gas Exploration &amp; Production 
"EQT Midstream Partners, LP",EQM.N,,Oil &amp; Gas Storage &amp; Transportation 
Equifax,EFX.N,,Research &amp; Consulting Services 
Essent,ESNT.N,Yes,Thrifts &amp; Mortgage Finance 
Essex Property Trust,ESS.N,,Residential REIT's 
Experian plc,EXPN.L,,Research &amp; Consulting Services 
"Express Scripts, Inc.",ESRX.O,Yes,Health Care             Services 
Facebook,FB.O,Yes,Internet Software &amp; Services 
Federal Realty Investment Trust,FRT.N,,Retail REIT's 
FEI Company,FEIC.O,,Electronic Equipment &amp; Instruments 
Fifth Street Finance Corp.,FSC.O,,Asset Management &amp; Custody Banks 
FireEye,FEYE.O,Yes,Systems Software 
First Cash Financial,FCFS.O,,Consumer Finance 
First Republic,FRC.N,,Regional Banks 
"First Solar, Inc",FSLR.O,,Semiconductors 
Five9,FIVN.O,,Internet Software &amp; Services 
Florida Community Bank,FCB.N,,Regional Banks 
Foot Locker,FL.N,Yes,Apparel Retail 
Ford Motor,F.N,,Automobile Manufacturers 
Foresight Energy,FELP.N,,Coal &amp; Consumable Fuels 
Freeport-McMoRan,FCX.N,,Diversified Metals &amp; Mining 
FXCM,FXCM.N,,Investment Banking &amp; Brokerage 
G&amp;K Services,GK.O,,Diversified Support Services 
"Gaming and Leisure Properties, Inc.",GLPI.O,,Specialized REIT's 
GasLog,GLOG.N,Yes,Oil &amp; Gas Storage &amp; Transportation 
General Dynamics Corp.,GD.N,,Aerospace &amp; Defense 
General Growth Properties,GGP.N,,Retail REIT's 
General Motors,GM.N,Yes,Automobile Manufacturers 
GenMark Diagnostics,GNMK.O,,Health Care Equipment 
Gentherm,THRM.O,,Auto Parts &amp; Equipment 
Genuine Parts Company,GPC.N,,Distributors 
Gilead Sciences,GILD.O,,Biotechnology 
Global Payments,GPN.N,,Data Processing &amp; Outsourced Services 
Gogo,GOGO.O,,Internet Software &amp; Services 
Gold Fields Ltd-ADR,GFI.N,,Gold 
Goldcorp Inc,GG.N,,Gold 
Goodyear,GT.O,,Tires &amp; Rubber 
Google,GOOG.O,,Internet Software &amp; Services 
"GoPro, Inc.",GPRO.O,,Consumer Electronics 
Guidewire Software,GWRE.N,,Application Software 
Hain Celestial Group,HAIN.O,,Packaged Foods &amp; Meats 
Halozyme Therapeutics,HALO.O,,Biotechnology 
Harley-Davidson,HOG.N,,Motorcycle Manufacturers 
Harman International,HAR.N,Yes,Consumer Electronics 
Haynes International,HAYN.O,,Steel 
HCA,HCA.N,,Health Care Facilities 
Health Care REIT,HCN.N,,Health Care REIT's 
HealthEquity,HQY.O,,Managed Health Care 
Heartware International,HTWR.O,,Health Care Equipment 
Hershey,HSY.N,,Packaged Foods &amp; Meats 
Hewlett-Packard,HPQ.N,,"Technology Hardware, Storage &amp; Peripherals" 
Hilton Worldwide,HLT.N,Yes,"Hotels, Resorts &amp; Cruise Lines" 
Hologic,HOLX.O,,Health Care Equipment 
Honeywell,HON.N,Yes,Aerospace &amp; Defense 
Hubbell Inc.,HUBB.N,,Electrical Components &amp; Equipment 
Humana,HUM.N,Yes,Managed Health Care 
Hyatt Hotels Corporation,H.N,,"Hotels, Resorts &amp; Cruise Lines" 
"Illumina, Inc.",ILMN.O,Yes,Life Sciences Tools &amp; Services 
