,symbol,rank,industry_rank,industry_total,etf,abr_today,abr_1week,abr_1month,abr_2month,abr_3month,ps,p4w,p12w,p24w
5285,CAAS,3,82,265,0,1.0,1.00,1.00,1.00,1.00,0.44,-14.58,-40.52,-18.93
6207,BIOS,3,52,265,0,1.33,1.33,1.33,1.33,1.40,0.38,-0.33,-23.79,-18.47
5133,UGP,3,175,265,0,1.67,1.67,1.67,1.67,1.67,0.4,2.43,-15.18,-18.32
4050,DXYN,3,115,265,0,1.5,1.50,1.50,1.50,1.00,0.32,5.62,2.25,-18.01
4841,SPWH,3,89,265,0,1.0,1.00,1.00,1.00,1.00,0.41,-15.18,-3.92,-17.81
1335,OMN,3,158,265,0,1.67,1.67,1.67,1.67,1.67,0.36,0.67,-2.73,-17.46
2770,GLPW,3,208,265,0,1.0,1.00,1.00,1.00,1.00,0.42,-5.67,-19.84,-17.21
4435,ATNY,3,187,265,0,1.0,1.00,1.00,1.00,1.00,0.47,1.97,-10.78,-16.87
4682,VLO,3,154,265,0,1.77,2.00,2.00,1.89,1.88,0.17,-5.63,-4.14,-16.44
1129,ACW,3,82,265,0,1.0,1.00,1.00,1.00,1.67,0.31,-2.6,-1.1,-16.04
1192,CPS,3,82,265,0,1.0,1.00,1.00,NA,NA,0.28,-4.54,-16.59,-16.0
2885,PKX,3,208,265,0,1.0,1.00,1.00,1.00,1.00,0.34,-5.06,-26.57,-15.33
4222,JASO,1,115,265,0,1.67,1.67,1.67,1.67,1.67,0.24,-9.91,-21.84,-14.67
4507,TMHC,3,181,265,0,1.67,1.67,1.67,1.67,1.67,0.2,1.17,-9.16,-13.42
361,MPC,3,154,265,0,1.85,1.69,1.69,1.58,1.61,0.23,-12.58,-10.71,-11.52
410,RRTS,3,24,265,0,1.5,1.50,1.50,1.50,1.50,0.47,0.6,-16.2,-10.38
5318,SXL,3,175,265,0,1.75,1.75,1.75,1.75,2.43,0.47,-9.95,-14.94,-9.75
397,REGI,2,47,265,0,1.67,1.67,1.67,2.00,2.00,0.29,-6.59,-14.76,-9.75
5211,GOL,3,9,265,0,1.25,1.25,1.30,1.70,1.75,0.38,0.18,-4.21,-8.08
2200,EME,3,179,265,0,1.6,1.60,1.60,1.60,1.60,0.4,-5.46,-6.3,-7.16
