MIK,1
EOG,1
BA,3
PAY,1
AAPL,3
EPR,1
AXP,2
AMZN,2
CCK,1
NFLX,3
GSK,2
GM,3
WB,2
BWP,1
XENT,1
PRU,1
SAP,2
PFE,3
ALLY,1
ENDP,1
GS,2
D,1
VFC,1
MJN,3
WMT,2
GE,2
T,2
JAH,1
MRK,3
HAR,1
ESNT,1
VRSK,1
FOXA,3
NTES,2
ERIC,2
BRCM,1
JNJ,2
BRCD,1
MAN,1
TSN,1
A,3
SBY,1
EMC,2
CMG,1
WFC,2
C,2
ESRX,1
SYNA,1
KLAC,1
JPM,2
HD,3
LNKD,1
MMM,2
LLY,2
HUM,1
RTN,2
CYOU,2
DOW,2
PG,3
LMT,2
BMY,3
LITB,2
BABA,2
MHK,1
TMUS,1
BAC,3
QCOM,2
BLK,3
YHOO,1
SLRC,1
NVS,2
NOK,2
HLT,1
NOC,2
MU,1
MS,2
ABT,2
SNY,2
COP,2
KMB,2
PEP,3
ACN,1
KMI,1
FB,3
COH,3
FL,1
REG,1
MSFT,3
IBM,2
BLUE,1
XOM,2
BSX,1
AZN,2
SOHU,2
CAR,1
NS,1
JDSU,2
CL,2
GILD,3
CG,1
ILMN,1
FEYE,1
TSLA,2
V,3
KRC,1
BBT,1
ALKS,1
OMC,1
XEC,1
BIDU,2
OZM,1
KO,2
TRAK,1
SBUX,1
PLD,1
KEY,1
TDS,1
VMW,2
LOW,1
CBI,2
CIEN,1
CVX,2
AAL,1
CAT,2
YY,2
AAP,1
SPNC,1
TWX,1
PDCE,1
DIS,3
QIHU,2
TWTR,3
BIIB,3
F,3
ALSN,1
ORCL,2
LQ,1
GOOG,3
MTX,1
VIPS,2
INTC,3
BBRY,2
HON,1
IR,1
SIVB,1
IRM,1
VZ,3
GLOG,1
DHR,1
MCK,1
NKE,1
MCD,3
CSCO,2
GOOGL,2
MA,3
