,symbol,param,alpha,beta,perf,max_drawdown,profit_order,loss_order,last_trade,bh_profit,mark
44,BBRY,t=4&h=6,-0.1272500629429648,0.009356809786364396,-6574.545072416094,0.7953051988009526,19.0,42.0,2015-01-07  sell -53.12  10.65,-8431.49,"avgTyp=10.42,avgHac=10.57"
49,LITB,t=5&h=6,-0.43355610583477816,0.04708485064711205,-5222.584768517517,0.6920568601918625,5.0,12.0,2015-01-09  buy  0  6.41,-4932.16,"avgTyp=6.37,avgHac=6.36"
41,ERIC,t=8&h=15,-0.09578688927757179,0.1312374973368276,-3911.522132140115,0.5516869097774044,13.0,27.0,2015-01-02  sell -146.08  12.01,3869.86,"avgTyp=12.08,avgHac=12.10"
51,WB,t=9&h=13,-0.21980415719463153,-0.09520767253923106,-2728.3294118640006,0.2948794503942619,1.0,5.0,2014-11-19  sell -526.83  18.12,-3927.47,"avgTyp=14.35,avgHac=14.62"
77,COH,t=4&h=12,-0.019267149181373067,0.15529199166412305,-2078.1970106559847,0.4948861977950458,13.0,26.0,2014-12-18  buy  0  36.36,1404.49,"avgTyp=37.91,avgHac=37.26"
26,SNY,t=8&h=15,-0.07395392917502805,0.40714139120791576,-1841.6212717753306,0.2881153135757108,9.0,25.0,2014-12-09  sell -428.48  46.1,3855.64,"avgTyp=45.01,avgHac=45.40"
42,NOK,t=9&h=15,-0.00037348884193152444,0.07968543780780893,-1836.3433509973092,0.7280080210484505,8.0,21.0,2015-01-02  sell -115.88  7.98,-2699.03,"avgTyp=7.67,avgHac=7.79"
21,MJN,t=8&h=13,-0.07006135315764182,0.284876956505098,-1811.8078984058448,0.3253304349891786,13.0,24.0,2015-01-06  sell -410.61  98.31,14335.04,"avgTyp=100.59,avgHac=100.49"
68,CSCO,t=8&h=13,-0.04204861711065246,0.256944308548831,-1721.6938779726543,0.39008166180463105,11.0,20.0,2015-01-12  buy  0  28.02,2589.77,"avgTyp=27.70,avgHac=27.62"
74,IBM,t=9&h=13,-0.09800240155532476,0.5333099896679203,-1670.7084213786093,0.26333937608475155,11.0,25.0,2015-01-07  sell -387.38  155.87,3155.06,"avgTyp=158.43,avgHac=158.98"
57,GOOG,t=9&h=15,-0.09049794041535787,0.11408967378775556,-1532.2627456672817,0.16865460877988772,0.0,6.0,2015-01-06  sell -420.01  508.55,-1313.05,"avgTyp=506.96,avgHac=514.64"
82,FOXA,t=8&h=15,-0.045519347589939405,0.3614169738972288,-1503.9705077858198,0.5128377395467362,10.0,22.0,2015-01-07  sell  403.45  35.96,19434.28,"avgTyp=36.36,avgHac=37.09"
59,A,t=9&h=15,-0.013737133219358284,0.24228001047350986,-1075.213699850594,0.34757592731778064,11.0,21.0,2015-01-06  sell -452.39  39.51,8751.75,"avgTyp=40.41,avgHac=40.56"
75,QCOM,t=6&h=12,-0.0053834853604354995,0.25714243003483717,-1042.4524786359652,0.3105154662691243,13.0,28.0,2014-12-19  buy  0  73.41,6754.73,"avgTyp=74.05,avgHac=74.01"
1,DOW,t=9&h=15,-0.042363214731816756,0.3559989227730308,-1007.8350460240699,0.40613564872251345,9.0,25.0,2014-12-02  sell -202.57  48.08,6902.76,"avgTyp=44.52,avgHac=45.02"
47,CYOU,t=8&h=15,0.033432781305333975,0.09414890879080058,-918.6285493160303,0.5331151287110629,10.0,21.0,2014-12-16  buy  0  24.48,-1363.18,"avgTyp=26.28,avgHac=26.05"
17,GSK,t=4&h=6,-0.0707069335166343,0.4002419826442034,-909.0254646501744,0.21482534500492212,26.0,33.0,2015-01-09  buy  0  42.88,3555.42,"avgTyp=42.71,avgHac=42.57"
3,CVX,t=5&h=6,-0.07604444789501055,0.5209688487727024,-887.8323074938853,0.29570790915590284,25.0,33.0,2015-01-06  sell -312.26  107.85,5734.88,"avgTyp=108.32,avgHac=109.16"
71,MSFT,t=4&h=7,-0.017278688935529075,0.1912981154843964,-655.5117317073791,0.3259284079549792,22.0,36.0,2014-12-31  sell -276.82  46.77,7170.23,"avgTyp=46.91,avgHac=46.90"
62,ORCL,t=9&h=15,-0.04347323766244972,0.41026061417048454,-373.9214684588951,0.3047993357255737,10.0,19.0,2015-01-12  sell -529.87  43.29,8350.3,"avgTyp=43.81,avgHac=43.88"
7,XOM,t=5&h=15,-0.06394828887582124,0.5109371806148022,-362.8739592206439,0.2858418808609234,9.0,26.0,2015-01-06  sell -477.16  90.12,4820.34,"avgTyp=91.25,avgHac=91.67"
46,SOHU,t=4&h=6,0.04493691003575055,0.12968393640632492,-229.13448022869034,0.5723797204542882,21.0,42.0,2015-01-07  sell  284.24  51.05,-1605.89,"avgTyp=50.98,avgHac=51.34"
36,JPM,t=4&h=7,-0.026339371930804482,0.3698953530180636,-226.47307385043496,0.3244313760108226,21.0,34.0,2015-01-06  sell -369.84  59.68,5111.74,"avgTyp=59.59,avgHac=60.39"
69,T,t=9&h=13,-0.029658009344687573,0.33699461269351827,-105.25429817749864,0.16623269232641757,11.0,23.0,2014-12-29  buy  0  33.64,5737.78,"avgTyp=33.37,avgHac=33.32"
30,BLK,t=7&h=14,-0.011478298392706188,0.2932620505739848,-72.18408818317494,0.3230935555932752,12.0,22.0,2015-01-06  sell -591.5  345.24,6587.62,"avgTyp=350.96,avgHac=353.58"
32,MA,t=6&h=11,-0.0018031041182753008,0.17757002045462608,148.60984584276684,0.2996775051969209,16.0,31.0,2015-01-05  sell -439.79  84.08,23410.82,"avgTyp=84.53,avgHac=85.18"
10,CL,t=9&h=13,-0.02530851398502713,0.2661797151652742,249.60288698647673,0.23630283730076462,14.0,22.0,2015-01-06  sell -299  68.26,8433.7,"avgTyp=68.90,avgHac=69.12"
5,MMM,t=9&h=15,-0.06663947955914737,0.5891862808636388,489.176921203798,0.23801330134184764,12.0,18.0,2015-01-07  sell -49.87  159.73,11575.84,"avgTyp=162.20,avgHac=162.64"
65,EMC,t=4&h=6,-0.013742091150938433,0.34517994994092865,513.0852232256548,0.3020646098727833,22.0,35.0,2015-01-06  sell -435.03  28.99,6471.26,"avgTyp=29.26,avgHac=29.39"
22,ABT,t=5&h=13,-0.037002929713176334,0.3723626408835945,583.2618628887776,0.1745145970881218,15.0,22.0,2015-01-07  sell -376.5  44.7,10239.79,"avgTyp=45.27,avgHac=45.21"
19,PG,t=9&h=11,-0.04233844718001467,0.4144240797127429,1026.1515809079792,0.14950349108415312,14.0,24.0,2015-01-05  sell  683.7  90.27,7209.57,"avgTyp=90.68,avgHac=90.88"
72,SAP,t=6&h=8,-0.01796707401253577,0.4261055770355522,1142.0194733306453,0.2632887105300739,17.0,31.0,2015-01-06  sell -895.57  65.86,5027.75,"avgTyp=66.60,avgHac=67.19"
12,MCD,t=9&h=14,-0.018495100632339834,0.299828586831416,1330.170331979165,0.19421518713136005,9.0,21.0,2015-01-08  buy  0  94.41,7512.71,"avgTyp=93.50,avgHac=93.49"
13,GE,t=9&h=14,-0.0471092473183459,0.49796990332466307,1332.6285432920267,0.2694942938554505,13.0,26.0,2015-01-05  sell -545.42  24.79,8221.88,"avgTyp=24.51,avgHac=24.83"
50,BABA,t=9&h=14,0.5128747976439818,0.18886078740570122,1415.3871435399342,0.12529860714911253,1.0,1.0,2014-12-24  sell -449.06  106.11,1304.93,"avgTyp=103.68,avgHac=104.65"
31,AXP,t=7&h=11,-0.005252345848794304,0.39573708838488136,1535.1517480342109,0.2806040163822192,16.0,26.0,2015-01-06  sell -615.46  89.3,13608.55,"avgTyp=90.90,avgHac=91.53"
67,JDSU,t=4&h=13,0.10300521226724141,0.1411463309198077,1540.056337593991,0.5852491175757426,14.0,28.0,2015-01-05  sell -155.53  13.66,5083.61,"avgTyp=13.54,avgHac=13.66"
38,GM,t=8&h=13,0.021695701186526875,0.28697574911784535,1602.2920110611922,0.2176112285353784,10.0,14.0,2014-12-23  buy  0  33.53,887.0,"avgTyp=35.28,avgHac=34.63"
2,PEP,t=9&h=15,-0.02894041807816807,0.4529650087476777,1613.669579860396,0.18298706660253508,12.0,15.0,2015-01-02  sell -248.87  94.69,8039.29,"avgTyp=96.04,avgHac=95.92"
14,BA,t=9&h=14,-0.025431082044782338,0.38325128484261967,1623.952875941257,0.39857219505756614,10.0,20.0,2014-12-26  buy  0  131.27,15318.24,"avgTyp=130.34,avgHac=129.86"
9,KO,t=5&h=8,-0.011756802608313313,0.3381851119492473,1630.7242296892773,0.1964749909631261,15.0,31.0,2015-01-08  buy  0  43.34,7333.33,"avgTyp=42.91,avgHac=42.81"
79,CBI,t=9&h=15,0.04395437741127979,0.21162827993715347,1663.891437786384,0.4181996101797958,10.0,21.0,2014-12-01  sell -1644.9  47.9,9037.54,"avgTyp=40.47,avgHac=41.22"
70,VZ,t=4&h=15,0.021082401851707372,0.23028182962407187,1712.3595603211088,0.17804017304192943,14.0,25.0,2014-11-24  sell -153.45  48.87,10171.38,"avgTyp=46.83,avgHac=46.74"
24,PFE,t=9&h=15,-0.019433610617480876,0.4209362022474977,1945.3455203552148,0.23451791681830392,9.0,20.0,2015-01-08  buy  0  32.42,11196.64,"avgTyp=32.04,avgHac=31.73"
64,TWTR,t=8&h=15,0.3164328853366876,0.03338620725982136,2055.8661546340936,0.42873704410541713,3.0,2.0,2015-01-09  buy  0  39.5,-603.82,"avgTyp=38.34,avgHac=37.76"
11,KMB,t=8&h=15,0.03956775443843755,0.12658751052468292,2138.383558767666,0.18956445896590474,9.0,20.0,2015-01-09  buy  0  116.41,12863.91,"avgTyp=115.79,avgHac=115.68"
20,JNJ,t=7&h=11,-0.0044182578483961885,0.3316076423048585,2142.5897572130616,0.18570260496748345,13.0,24.0,2015-01-09  buy  0  105.67,9256.12,"avgTyp=105.09,avgHac=105.14"
33,V,t=9&h=15,0.05000224002237516,0.1177294663029999,2424.0618135584773,0.4072410732303542,11.0,17.0,2015-01-09  buy  0  262.1,20987.96,"avgTyp=261.81,avgHac=261.95"
16,MRK,t=8&h=11,0.025126252542173107,0.20490752471945012,2862.6341920016075,0.17683191328003786,14.0,23.0,2015-01-07  buy  0  61.01,10406.16,"avgTyp=60.84,avgHac=59.90"
66,AAPL,t=9&h=15,0.06881524950816409,0.22232925656320607,3042.657546045917,0.2870820061792675,11.0,25.0,2015-01-02  sell -562.39  109.88,27672.41,"avgTyp=110.14,avgHac=110.61"
53,VMW,t=5&h=15,0.04787667953248354,0.1920355436640065,3159.2486844216455,0.39613534879260215,15.0,19.0,2015-01-06  sell -684.74  80.14,7843.09,"avgTyp=80.33,avgHac=81.36"
23,LLY,t=5&h=8,0.044370661206933594,0.13717525753686943,3307.7947587136514,0.13107343091491436,21.0,27.0,2014-12-24  sell -435.12  70.24,14678.28,"avgTyp=69.87,avgHac=69.98"
4,WMT,t=6&h=11,0.04338316253977937,0.22599406339921957,3329.679047621865,0.1329668248032846,15.0,19.0,2014-12-19  buy  0  85.73,8963.56,"avgTyp=88.70,avgHac=87.45"
60,GS,t=6&h=15,0.06993951730045854,0.23899700595716125,3375.073052559249,0.2749560360442448,10.0,23.0,2015-01-07  sell -564.79  186.97,1196.68,"avgTyp=188.44,avgHac=190.82"
8,COP,t=9&h=15,0.03665072240256631,0.3611107964216178,3494.429393787783,0.25672249281915976,11.0,18.0,2015-01-07  sell -1353.11  63.61,9222.8,"avgTyp=65.53,avgHac=66.64"
