,symbol,param,alpha,beta,perf,max_drawdown,profit_order,loss_order,last_trade,bh_profit,mark
79,CBI,t=6&h=15,-0.32681958312865933,0.1573148480557897,-2934.1436702192486,0.30630898478528273,1.0,5.0,2014-12-01  sell -932.33  47.9,-5226.21,"avgTyp=39.92,avgHac=41.00"
51,WB,t=9&h=13,-0.21961047367905534,-0.09987405669577636,-2728.3294118640006,0.2948794503942619,1.0,5.0,2014-11-19  sell -526.83  18.12,-4153.03,"avgTyp=14.16,avgHac=14.49"
38,GM,t=9&h=14,-0.22036825797981913,0.2701364806460186,-2437.658447335978,0.2599350808210497,2.0,4.0,2014-12-23  buy  0  33.53,-1160.98,"avgTyp=35.23,avgHac=34.69"
47,CYOU,t=4&h=7,-0.25078098417516204,0.05529911944902421,-2403.6365106682797,0.4118721457894946,2.0,14.0,2015-01-08  sell  688.35  26.19,-1260.07,"avgTyp=26.35,avgHac=26.38"
77,COH,t=5&h=11,-0.217617285376641,0.21184212724297743,-2384.776584456149,0.2465957370121083,2.0,5.0,2014-12-18  buy  0  36.36,-3013.65,"avgTyp=37.97,avgHac=37.49"
34,C,t=4&h=8,-0.20712346588917074,0.16525603663767932,-2031.7585686276516,0.25851693914423785,2.0,10.0,2015-01-06  sell -496.69  51.67,-448.73,"avgTyp=50.84,avgHac=51.93"
13,GE,t=8&h=15,-0.2680612726666033,0.554182293574837,-1935.3876461215332,0.22988498298234666,1.0,9.0,2014-12-03  sell  183.59  26.03,-986.02,"avgTyp=24.34,avgHac=24.76"
75,QCOM,t=8&h=14,-0.1868302681674998,0.08829442282096887,-1696.852909349307,0.26202469427925823,1.0,7.0,2014-12-19  buy  0  73.41,232.79,"avgTyp=73.95,avgHac=73.92"
49,LITB,t=8&h=9,-0.13279507082060701,-0.09724415217398871,-1603.9055462335991,0.4148146426908308,2.0,8.0,2015-01-09  buy  0  6.41,-2427.88,"avgTyp=6.36,avgHac=6.36"
57,GOOG,t=9&h=15,-0.09121855716906759,0.12385878948638458,-1532.2627456672817,0.16865460877988772,0.0,6.0,2015-01-06  sell -420.01  508.55,-1249.03,"avgTyp=505.00,avgHac=512.51"
