,symbol,5d,10d,20d,50d,100d,200d,max,px,sma10,sma50,sma200,sma10%,sma50%,sma200%,,,
61,BIDU,-5.41%,-4.89%,-1.43%,-0.08,1.23%,36.21%,27.17%,216.82,222.879,233.7476,202.5651,-2.72%,-7.24%,7.04%,,BIDU,3
34,C,-5.56%,-9.35%,-4.14%,-0.08,-3.67%,2.68%,-10.74%,49.05,51.496,53.5318,50.3445,-4.75%,-8.37%,-2.57%,,C,3
42,NOK,1.32%,-2.04%,-0.39%,-0.08,-5.87%,8.60%,2.67%,7.7,7.646,7.9714,7.77025,0.71%,-3.40%,-0.90%,,NOK,3
53,VMW,-2.56%,-5.79%,1.32%,-0.08,-23.96%,-30.47%,-20.94%,77.74,80.042,82.8774,92.6459,-2.88%,-6.20%,-16.09%,,VMW,3
75,QCOM,-3.07%,-2.84%,2.72%,-0.07,-4.91%,-8.33%,-0.99%,72.22,73.684,72.6422,75.5648,-1.99%,-0.58%,-4.43%,,QCOM,3
35,BAC,-7.23%,-10.34%,-4.07%,-0.07,0.06%,-6.91%,-5.81%,16.04,17.041,17.2644,16.15745,-5.87%,-7.09%,-0.73%,,BAC,4
13,GE,-2.42%,-5.90%,-1.98%,-0.07,-7.43%,-5.67%,-9.96%,23.78,24.31,25.5098,25.5709,-2.18%,-6.78%,-7.00%,,GE,3
36,JPM,-5.93%,-8.64%,-2.15%,-0.06,-1.59%,-3.86%,-1.95%,56.81,59.748,60.5012,57.6254,-4.92%,-6.10%,-1.42%,,JPM,3
48,VIPS,-6.16%,9.98%,8.37%,-0.06,0.80%,34.56%,122.93%,21.49,21.582,21.8402,19.371,-0.43%,-1.60%,10.94%,,VIPS,3
70,VZ,-0.45%,1.60%,4.38%,-0.06,-1.20%,2.87%,1.75%,46.97,46.652,47.9998,47.8405,0.68%,-2.15%,-1.82%,,VZ,3
60,GS,-5.28%,-7.02%,-1.68%,-0.05,3.36%,9.68%,2.15%,180.23,187.624,190.2522,174.76605,-3.94%,-5.27%,3.13%,,GS,3
7,XOM,-2.70%,-2.93%,3.85%,-0.05,-8.23%,-6.24%,-6.58%,89.74,91.05,92.8478,96.6252,-1.44%,-3.35%,-7.13%,,XOM,5
74,IBM,-1.65%,-2.89%,2.90%,-0.05,-17.62%,-18.40%,-15.00%,155.8,157.971,160.4064,179.0367,-1.37%,-2.87%,-12.98%,,IBM,3
17,GSK,-0.79%,0.26%,2.22%,-0.05,-8.91%,-16.44%,-15.43%,42.85,42.549,44.3336,48.06985,0.71%,-3.35%,-10.86%,,GSK,4
59,A,-4.48%,-4.36%,1.77%,-0.04,-4.80%,-2.18%,-8.63%,39.06,40.028,40.9122,40.23745,-2.42%,-4.53%,-2.93%,,A,3
55,AMZN,-2.39%,-5.50%,-0.61%,-0.04,-11.56%,-14.50%,-25.92%,293.27,299.158,310.5954,319.22245,-1.97%,-5.58%,-8.13%,,AMZN,3
31,AXP,-4.92%,-6.14%,-1.03%,-0.04,-1.46%,-3.43%,-0.23%,87.07,90.228,91.3944,89.43215,-3.50%,-4.73%,-2.64%,,AXP,3
37,WFC,-4.31%,-6.51%,-2.88%,-0.03,0.81%,5.13%,13.54%,51.25,52.86,53.8662,51.1529,-3.05%,-4.86%,0.19%,,WFC,3
69,T,-0.51%,0.63%,5.18%,-0.03,-0.71%,0.15%,4.03%,33.33,33.311,33.7276,34.01035,0.06%,-1.18%,-2.00%,,T,3
65,EMC,-3.93%,-5.38%,0.57%,-0.03,-4.32%,2.48%,8.73%,28.14,29.094,29.523,27.9667,-3.28%,-4.68%,0.62%,,EMC,1
20,JNJ,-2.25%,-0.55%,1.21%,-0.03,1.53%,8.36%,12.75%,104,104.639,106.4432,102.4516,-0.61%,-2.30%,1.51%,,JNJ,3
71,MSFT,-3.43%,-1.05%,1.77%,-0.03,2.43%,13.15%,28.45%,45.96,46.512,47.5968,43.7538,-1.19%,-3.44%,5.04%,,MSFT,4
50,BABA,-5.19%,-4.19%,-5.85%,-0.02,,,6.06%,99.58,102.401,108.041,nan,-2.75%,-7.83%,nan%,,BABA,2
26,SNY,-1.32%,-1.78%,-1.28%,-0.02,-14.96%,-10.44%,-9.18%,44.8,44.968,46.2904,51.2225,-0.37%,-3.22%,-12.54%,,SNY,4
49,LITB,0.00%,1.43%,6.16%,-0.02,3.74%,-6.73%,-35.88%,6.38,6.345,6.6146,6.0515,0.55%,-3.55%,5.43%,,LITB,4
