RYL,3
EOG,5
RYI,3
SAGE,3
WLH,3
WLK,5
SIG,2
SBAC,3
ERIC,4
BWP,3
SSYS,4
RLGY,4
SPR,1
MDRX,3
VRTX,3
BWA,3
UAL,1
TAL,3
VRTU,2
CCOI,2
SPG,3
CTLT,4
GT,3
GS,3
VAL,3
MJN,4
GG,3
P,3
GE,3
GD,3
VAR,4
GM,3
GK,2
JNS,2
OTIC,2
MAS,2
MAR,3
FOXA,3
JNJ,3
SNY,4
TSN,2
CMG,3
CMA,3
PCL,4
PCG,2
CMP,3
INGN,1
FEIC,3
VLO,3
MPLX,2
HUM,2
CYOU,2
BLMN,3
PCLN,4
VLP,2
FSLR,3
LITB,4
BABA,2
VNTV,4
BCRX,1
HCA,1
BLK,3
HCN,3
NFX,5
SLRC,3
MA,3
CBG,2
MC,2
NOK,3
PRGO,3
HLT,2
VWR,4
KKR,3
MU,3
CBS,3
UHS,2
CBT,5
TJX,3
HAIN,3
FB,1
COST,3
CTL,4
FL,2
REG,2
MSFT,4
GLW,2
BSX,3
GGP,3
FCX,3
FCB,3
MDVN,3
MDT,3
OUT,5
TLLP,3
ZMH,4
F,3
ATEN,4
ILMN,2
V,3
TSCO,3
ALL,1
ZBRA,2
PAGP,4
SBY,3
LMT,3
MMM,3
JNPR,3
SC,3
MMC,3
BAC,4
CIEN,3
ENDP,1
USAC,4
CAR,3
CAT,4
YY,4
LXRX,3
DATA,2
BAH,1
LB,2
INCY,2
LH,3
NWHM,3
MDCO,3
LQ,2
A,5
PCYC,2
STI,3
STJ,3
Q,3
WCC,4
ABT,4
XON,3
XOM,5
UDR,3
ALKS,4
CERN,4
CFG,3
NCR,3
PNR,3
PNK,4
TRGP,3
AVB,3
PNC,3
MIK,2
GOOGL,3
MIC,3
ARAY,4
VFC,3
LII,3
ZSPH,3
CLVS,3
AMZN,3
IMPR,3
RAD,1
RARE,2
GLPI,3
XENT,2
PRU,3
OREX,3
SAP,4
CUDA,5
URBN,3
FELP,2
CHS,3
JAH,3
MRK,3
LPG,2
ESNT,4
SBNY,3
IPG,3
TNET,3
NTES,1
RHT,3
RHI,3
KAR,3
APO,4
APC,5
NEWR,0
ACTG,3
DPLO,3
FCFS,3
WFC,3
BA,2
BMRN,3
ADNC,3
OCR,2
JUNO,3
RTN,3
RTI,2
SGMO,3
ALNY,2
LPLA,3
BMY,3
CSOD,3
ENR,3
PAYC,3
BTU,4
CCLP,4
LPNT,3
YELP,4
MGI,3
MGM,3
BRCD,3
WWAV,4
CMLP,4
MAN,4
CREE,3
TLMR,3
DGI,2
ATO,2
ATK,4
FOLD,3
WYN,3
ADSK,4
WPZ,3
ECL,4
ARES,3
GEVA,3
NUE,3
FRC,3
TFM,3
DUK,3
IMS,3
MRVL,3
BBY,3
FRT,3
UNH,2
BBT,3
CLR,5
BLUE,2
INFN,2
INFI,2
AMAT,3
VRNT,2
KO,4
KR,2
KEY,3
VMW,3
CTAS,1
DM,2
WYNN,5
LBTYA,2
TSLA,3
AAL,1
DD,3
CNK,3
AAP,1
WBA,3
BIIB,2
POR,2
CRM,2
CYN,3
ARRY,3
AKAM,3
INTC,2
HOLX,2
BEAV,5
EBS,3
M,3
VTTI,3
SPWR,5
SLH,2
ALXN,1
SLG,3
DHR,3
MCK,2
RSPP,3
MCD,3
LGF,3
NKTR,3
ENTA,3
AXP,3
NFLX,3
WB,0
PAY,3
AAPL,2
PAA,4
KRC,3
WX,4
THRM,3
IRWD,3
VNO,1
PZN,3
DCT,3
HSY,3
CTSH,2
OMC,4
GPN,2
H,4
EQT,5
GLOG,1
TRMB,3
EQM,3
TMHC,3
HAR,4
THC,3
LVLT,3
CAVM,4
SYF,3
XEC,5
BRCM,1
KIM,3
NORD,3
NVRO,3
GWRE,2
RGP,3
CRS,4
OZM,3
AET,3
EMC,1
ESRX,3
SYNA,2
RGA,3
KLAC,3
EPD,3
CRL,3
TMUS,3
TRUE,3
LNKD,2
TCS,3
DRII,3
PG,3
EFX,3
AGNC,1
C,2
MHK,3
CSGP,4
QCOM,3
BXMT,4
COTY,4
HALO,3
AINV,3
NVS,3
PSB,4
RNA,2
PSA,2
OPHT,1
ICEL,3
PSX,3
MELI,3
MON,3
OPB,3
JLL,1
MKTO,2
COP,5
ETP,3
FSC,3
KMB,3
COV,3
DVA,3
KMI,3
REXR,4
COG,5
COF,4
COH,3
COL,3
COO,4
TMO,4
CIE,3
GPC,3
ARMK,3
FIVN,3
HAYN,3
CI,2
JDSU,3
PSXP,2
CG,4
ULTA,2
N,3
COMM,3
FEYE,3
SAIC,3
ZTS,3
PLT,3
CHRS,3
TRAK,4
SBUX,3
MOS,4
PLD,3
TDS,3
ULTI,3
SCAI,3
DIN,3
CBI,4
CVX,5
CVS,2
DISH,4
LOW,2
ARCC,1
NOC,2
PTCT,4
DIS,3
PPG,3
KERX,4
MNST,3
TWTR,3
QTWO,3
TERP,2
GOOG,0
MTX,1
VC,3
VIPS,3
MS,3
LVS,5
BBRY,2
VECO,1
HPQ,3
IR,3
SIVB,3
IRM,3
UTX,3
PINC,3
CSCO,3
DXCM,3
ACRE,3
WDC,3
LPI,4
EPR,2
CCS,3
CTRX,3
NAV,4
CCK,3
GSK,4
EPE,3
GPRO,2
CENX,1
ATHN,3
MYL,2
ALLY,3
NVAX,3
D,3
PEP,3
WMT,3
VZ,3
T,3
WMB,3
AMRI,0
STLD,3
TGI,3
MDSO,2
VRSK,3
CRCM,3
BURL,1
DEI,3
FXCM,2
SERV,2
AMH,2
LLY,3
PTC,3
DOW,5
PVTB,3
LLL,4
NWL,3
AMT,3
NSTG,3
LRCX,2
TRIV,3
BDN,3
CNX,3
YHOO,3
TRS,4
BDX,3
SNCR,3
MDLZ,4
SCTY,3
IVZ,3
ACAD,2
AXTA,3
CEQP,3
ACN,3
CYH,2
ACAS,3
TEN,3
IBM,3
MACK,3
RRC,4
SOHU,1
NBL,5
NS,3
GILD,4
DNR,3
JPM,3
VIAB,3
BRX,3
BIDU,3
CDW,3
BOOT,3
LEN,3
MET,3
CMTL,3
HQY,2
AZN,3
LGIH,4
USM,3
TWO,4
CHGG,2
MTSI,1
MXIM,3
SPNC,3
TWX,3
GNMK,2
PDCE,4
SMG,3
TXN,2
VEEV,2
QIHU,4
DAL,1
TW,4
CL,3
ALSN,2
ORCL,3
GFI,3
HD,3
TXT,2
EAT,2
PXD,5
AA,2
HOG,4
ESS,3
CNP,3
HON,3
AM,3
AL,1
ICE,3
HTWR,4
GOGO,3
ABBV,2
AR,5
AU,4
AMTG,3
TROW,3
ISRG,3
PFE,3
NKE,3
ARLP,4
CATM,3
KYTH,3
VSI,3
