symbol,pricesale,marketcap,avgvol,px,peg,dividend,divdate
JNJ,4.05,288.43B,9168320,104.24,2.93,2.93,11/20/2015
NOC,1.46,34.86B,1330320,192.68,2.33,1.77,11/25/2015
A,3.07,12.20B,3046020,37.19,1.82,1.24,12/31/2015
MRO,0.74,4.69B,20803200,6.93,0.44,2.70,2/12/2016
MRK,3.58,140.57B,11688800,50.32,3.17,3.70,12/11/2015
BIIB,5.40,56.65B,1873350,259.05,1.47,N/A,N/A
VNTV,2.45,7.75B,2001020,50.00,1.22,N/A,N/A
SWKS,3.61,11.90B,4213820,62.07,0.44,1.69,2/9/2016
CTXS,3.30,10.71B,1975240,68.55,1.01,N/A,N/A
GPRO,1.10,1.70B,8662470,12.39,0.79,N/A,N/A
JAZZ,5.76,7.48B,600759,121.64,0.70,N/A,N/A
LMT,1.40,64.90B,1683020,214.20,2.19,3.16,11/27/2015
LITB,0.31,104.01M,71177,2.20,0.89,N/A,N/A
MA,10.02,95.57B,4979090,86.04,1.57,0.88,1/6/2016
COST,0.57,65.37B,2530520,148.65,3.17,1.07,2/10/2016
CIEN,1.08,2.63B,3274720,19.38,0.81,N/A,N/A
BAC,1.66,128.72B,122386000,12.24,0.88,1.63,12/2/2015
STI,2.23,17.23B,4826750,33.89,2.00,2.80,11/25/2015
RHT,6.14,11.93B,1866420,65.35,2.12,N/A,N/A
BMRN,14.04,12.07B,1740230,74.87,-4.71,N/A,N/A
DIS,2.87,155.28B,11276300,95.17,1.35,1.53,12/10/2015
UTX,1.31,73.91B,6214310,88.36,1.46,2.98,2/17/2016
AZN,3.08,75.08B,4352270,29.70,-14.71,9.24,2/17/2016
BMY,6.44,105.71B,6789070,63.32,1.30,2.44,12/30/2015
MGM,1.26,10.37B,7033140,18.40,1.23,0.00,2/8/2001
KEY,2.25,8.89B,15962500,10.64,0.90,2.75,11/27/2015
AXP,1.70,52.90B,8274290,54.15,1.21,2.18,1/6/2016
MSFT,4.71,412.79B,41369600,52.19,1.95,2.82,2/16/2016
ACN,1.99,61.86B,3147530,98.52,1.92,2.27,10/14/2015
GILD,3.89,126.54B,11528000,88.99,1.41,1.89,12/14/2015
VOYA,0.54,6.01B,2452060,28.76,0.67,0.14,11/24/2015
XOM,1.38,342.66B,18414500,82.45,1.27,3.60,2/9/2016
UNH,0.72,111.66B,4119640,117.45,1.06,1.74,12/2/2015
AAL,0.60,24.77B,9437350,39.54,5.47,1.04,2/8/2016
AAP,1.08,10.50B,1253010,143.32,1.28,0.16,12/22/2015
BID,1.59,1.53B,1384450,22.88,0.50,1.81,11/27/2015
MCD,4.29,107.59B,7177890,117.17,2.28,2.99,11/27/2015
C,1.70,114.94B,24009500,38.92,0.20,0.51,1/28/2016
CRM,6.69,40.97B,5343590,61.70,2.76,N/A,N/A
PG,3.08,221.72B,10237400,81.98,3.83,3.25,1/20/2016
SBUX,4.32,84.19B,10681700,56.96,1.62,1.42,2/2/2016
PSX,0.50,42.02B,4121740,79.44,1.89,2.86,2/11/2016
CSCO,2.71,134.00B,32331800,26.43,1.40,4.02,1/4/2016
APEI,0.75,253.26M,123954,15.57,0.81,N/A,N/A
FB,16.70,294.50B,33152600,103.47,1.04,N/A,N/A
AGN,5.69,109.56B,3419420,277.98,2.12,0.10,N/A
ERIC,1.02,30.15B,3891420,9.26,1.60,4.32,4/15/2015
BWP,2.50,3.06B,1091670,12.24,1.50,3.50,2/16/2016
MAR,6.02,16.70B,3814060,64.94,0.81,1.54,11/17/2015
MAN,0.29,5.72B,687084,77.24,1.34,2.13,11/27/2015
AMZN,2.35,247.19B,5540850,525.00,2.93,N/A,N/A
VMW,3.04,20.32B,2122630,48.16,0.86,N/A,N/A
MOS,1.00,9.07B,6145590,25.72,-8.41,2.90,12/1/2015
MON,2.75,39.60B,3594440,89.92,1.74,2.46,1/6/2016
CVX,1.36,163.23B,12389100,86.73,-2.28,5.05,2/16/2016
