symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
JNJ,N,-1,134,265,,1.93,1.93,2.07,2.07,2.00,14,1.42,1.42,1.43,1.43,1.44
NOC,N,-1,42,265,,2.08,2.08,2.15,2.15,2.42,12,1.99,1.98,1.98,2.44,2.46
A,N,-1,159,265,,1.91,1.91,2.09,2.09,2.09,11,0.43,0.43,0.43,0.47,0.47
MRO,N,-1,159,265,,2.19,2.19,1.87,1.87,1.81,16,-0.36,-0.36,-0.40,-0.42,-0.41
MRK,N,-1,134,265,,1.86,1.86,2.00,2.00,2.00,14,0.90,0.90,0.90,0.90,0.91
BIIB,O,-1,61,265,,1.76,1.76,1.80,1.80,1.85,23,4.05,4.05,4.09,4.07,4.04
VNTV,N,-1,80,265,,1.98,1.98,1.93,1.93,1.80,22,0.60,0.60,0.60,0.58,0.58
SWKS,O,-1,42,265,,1.18,1.18,1.19,1.19,1.29,17,1.49,1.49,1.49,1.46,1.46
CTXS,O,-1,74,265,,2.11,2.11,2.11,2.06,2.10,21,1.00,1.00,1.00,0.99,0.97
GPRO,O,-1,98,265,,2.40,2.40,2.13,2.13,1.71,15,0.18,0.18,0.30,0.67,0.72
JAZZ,O,-1,51,265,,1.33,1.33,1.33,1.18,1.18,12,1.67,1.67,1.67,1.81,1.81
LMT,N,-1,42,265,,2.45,2.45,2.33,2.38,2.23,11,2.92,2.90,2.91,2.93,2.96
LITB,N,-1,64,265,,3.00,3.00,3.00,3.00,3.00,1,0.11,0.11,0.11,0.11,0.11
MA,N,-1,80,265,,1.54,1.54,1.56,1.56,1.73,25,0.71,0.71,0.71,0.76,0.76
COST,O,-1,136,265,,1.69,1.69,1.79,1.69,1.79,21,1.30,1.30,1.31,1.30,1.32
CIEN,N,-1,244,265,,1.50,1.63,1.71,1.59,1.50,16,0.06,0.06,0.20,0.20,0.20
BAC,N,-1,183,265,,1.72,1.72,1.72,1.72,1.72,18,0.34,0.34,0.35,0.35,0.37
STI,N,-1,183,265,,2.19,2.19,2.19,2.25,2.32,21,0.87,0.87,0.87,0.87,0.85
RHT,N,-1,74,265,,1.50,1.47,1.44,1.56,1.47,16,0.31,0.32,0.32,0.32,0.33
BMRN,O,-1,61,265,,1.64,1.64,1.64,1.54,1.57,14,0.98,0.98,0.98,-0.77,-0.73
DIS,N,-1,196,265,,2.00,2.00,2.00,1.96,1.96,23,1.43,1.43,1.42,1.39,1.37
UTX,N,-1,150,265,,1.97,1.97,1.91,1.91,1.72,15,1.49,1.49,1.49,1.49,1.53
AZN,N,-1,134,265,,2.60,2.60,2.60,2.33,2.33,5,0.27,0.27,0.24,0.43,0.43
BMY,N,-1,134,265,,1.88,1.88,1.81,1.81,1.75,12,0.27,0.27,0.26,0.23,0.22
MGM,N,-1,98,265,,1.23,1.23,1.23,1.25,1.25,13,0.07,0.07,0.07,0.05,0.06
KEY,N,-1,183,265,,2.28,2.28,2.21,2.35,2.39,18,0.28,0.28,0.28,0.28,0.29
AXP,N,-1,149,265,,2.62,2.60,2.63,2.63,2.50,21,1.13,1.13,1.13,1.17,1.26
MSFT,O,-1,74,265,,1.76,1.76,1.86,1.86,2.00,21,0.69,0.69,0.69,0.68,0.72
ACN,N,-1,158,265,,1.87,1.87,1.87,1.87,1.93,15,1.18,1.18,1.18,1.18,1.18
GILD,O,-1,61,265,,1.81,1.81,1.73,1.73,1.59,16,2.89,2.89,2.88,2.98,2.98
VOYA,N,-1,144,265,,2.23,2.23,2.23,2.29,2.23,15,0.79,0.79,0.79,0.81,0.84
XOM,N,-1,167,265,,2.58,2.58,2.62,2.59,2.74,16,0.76,0.76,0.76,0.73,0.80
UNH,N,-1,30,265,,1.19,1.19,1.19,1.29,1.29,18,1.37,1.37,1.32,1.57,1.60
AAL,O,-1,28,265,,1.83,1.83,1.83,1.83,1.91,12,1.90,1.90,1.88,1.85,1.77
AAP,N,-1,98,265,,1.91,1.91,1.79,1.79,1.79,17,1.23,1.23,1.23,1.53,1.53
BID,N,-1,222,265,,1.80,1.80,1.80,1.80,1.80,5,0.87,0.95,0.97,1.33,1.33
MCD,N,-1,93,265,,2.18,2.18,2.18,2.18,2.33,22,1.22,1.22,1.22,1.22,1.15
C,N,-1,183,265,,1.40,1.40,1.50,1.50,1.38,15,1.16,1.17,1.17,1.20,1.20
CRM,N,-1,74,265,,1.30,1.30,1.37,1.38,1.38,32,0.04,0.04,0.04,0.04,0.04
