symbol,exg,saleqtr0,saleqtr-1,saleqtr-2,saleqtr-3,saleqtr-4,saleqtr-5,saleqtr-6,saleqtr-7,saleqtr-8,saleqtr-9,epsqtr0,epsqtr-1,epsqtr-2,epsqtr-3,epsqtr-4,epsqtr-5,epsqtr-6,epsqtr-7,epsqtr-8,epsqtr-9,numest,saleq1e,saleq1ey,saleq2e,saleq2ey,saley1e,saley1ey,saley2e,saley2ey,epsq1e,epsq1ey,epsq2e,epsq2ey,epsy1e,epsy1ey,epsy2e,epsy2ey,numltgr,ltgre,ltgrey,cppettm,indupettm,sectorpettm,cppehigh5y,indupehigh5y,sectorpehigh5y,cppelow5y,indupelow5y,sectorpelow5y,cpbeta,indubeta,sectorbeta,cppsttm,indupsttm,sectorpsttm,cppbmrq,indupbmrq,sectorpbmrq,cppcfttm,indupcfttm,sectorpcfttm,cppfcfttm,indupfcfttm,sectorpfcfttm,divyield,div5y,div5ygr,payoutratio,cpsalemrqyoy,indusalemrqyoy,sectorsalemrqyoy,cppsalettmyoy,indusalettmyoy,sectorsalettmyoy,cpsale5ygr,indusale5ygr,sectorsale5ygr,cpepsmrqyoy,induepsmrqyoy,sectorepsmrqyoy,cpepsttmyoy,induepsttmyoy,sectorepsttmyoy,cpeps5ygr,indueps5ygr,sectoreps5ygr,cpcap5ygr,inducap5ygr,sectorcap5ygr,cpdebt2equity,indudebt2equity,secdebt2equity,cpquira,induquira,secquira,cpcurra,inducura,seccurra,cpgm,indugm,sectorgm,cpgm5y,indugm5y,sectorgm5y,cpom,induom,sectorom,cpom5y,induom5y,sectorom5y,cpnm,indunm,sectornm,cpnm5y,indunm5y,sectornm5y,cproa,induroa,sectorroa,cproa5y,induroa5y,sectorroa5y,cproi,induroi,sectorroi,cproi5y,induroi5y,sectorroi5y,cproe,induroe,sectorroe,cproe5y,induroe5y,sectorroe5y
DIS,N,13512.00,13101.00,12461.00,13391.00,12389.00,12466.00,11649.00,12309.00,,,0.950,1.451,1.229,1.271,0.864,1.284,1.083,1.031,,,28,15374.90,15287.80,13344.20,13101.10,56020.40,55698.60,59288.90,59245.70,1.54,1.47,1.41,1.32,5.66,5.41,6.21,6.00,5,12.63,15.85,21.44,26.92,18.23,21.00,62.07,27.14,11.98,41.59,14.90,1.42,1.20,1.17,3.31,4.25,4450.66,3.78,3.51,2.38,15.50,21.66,42737.94,,,,1.35,,35.25,36.54,9.06,3.19,4.85,7.48,0.18,0.59,6.63,11.48,13.01,9.94,-57.18,-31.30,14.97,0,0,19.24,30.35,19.45,15.11,37.96,15.13,38.94,68.61,71.38,0.93,4.53,1.34,1.03,5.75,1.77,45.94,56.07,24.78,40.56,53.99,23.78,25.10,34.99,9.66,21.96,31.11,10.51,16.87,16.36,9.33,15.22,22.51,10.64,10.27,7.87,6.92,8.93,14.58,4.90,13.08,9.33,11.47,11.11,18.58,16.69,18.73,11.43,14.79,15.59,19.76,21.29
UTX,N,13788.00,16333.00,14541.00,16996.00,14613.00,17191.00,14745.00,,,,1.611,1.734,1.577,1.624,1.928,1.837,1.323,,,,19,13393.50,0,14845.90,0,57982.70,70119.30,,,1.46,0,1.71,0,6.57,7.88,,,1,9.00,8.50,14.98,44.65,22.02,18.31,60.87,76.67,9.51,11.30,14.38,1.14,1.02,0.90,1.45,5.35,2.70,2.79,2.97,2.44,10.65,36.06,13.60,,,,2.66,,8.91,37.61,-5.65,13.30,4.41,-1.48,13.86,5.85,4.43,6.25,10.11,-16.43,23.48,36.54,-6.15,0,0,10.60,14.18,16.43,22.77,11.42,10.18,74.26,56.92,88.13,1.01,0.53,1.78,1.37,0.85,2.29,28.59,11.03,36.35,27.40,33.82,29.57,16.11,12.79,15.44,14.11,10.33,13.49,10.39,8.97,8.72,10.59,10.37,8.04,6.64,2.18,4.81,8.32,5.60,4.14,9.17,3.85,6.62,11.82,10.80,5.91,17.73,11.59,10.27,23.06,18.92,9.99
AZN,N,5945.00,6307.00,6057.00,6683.00,6542.00,6762.00,6460.00,,,,0.609,0.551,0.435,-0.254,0.201,0.630,0.399,,,,5,5840.00,6010.00,5809.00,6055.00,23562.10,24685.70,,,1.05,0.58,1.09,0.54,2.08,2.00,,,2,1.90,1.00,50.67,31.94,35.56,72.15,40.34,41.90,6.38,17.79,18.62,0.74,0.79,0.78,3.46,4.27,13.42,4.95,4.89,5.19,17.80,27.25,28.17,,,,4.12,,4.01,141.51,-9.13,5.93,7.38,-6.07,7.27,11.61,-4.47,11.00,11.26,202.91,70.82,62.73,64.93,0,0,-28.41,11.50,11.40,0,18.83,18.55,63.10,13.22,15.49,0.69,2.20,2.39,0.82,3.05,3.26,80.45,57.29,56.17,80.64,53.22,52.92,10.71,13.75,3.95,26.11,14.99,13.27,6.79,10.49,0.69,19.17,11.47,10.19,3.08,11.58,10.87,10.22,12.83,12.11,4.33,15.47,14.69,14.46,17.10,16.14,8.97,16.37,15.73,24.66,18.12,16.25
BMY,N,4069.00,4163.00,4041.00,4258.00,3921.00,3889.00,3811.00,,,,0.421,-0.078,0.708,0.008,0.432,0.200,0.562,,,,21,4052.17,3932.00,4348.20,3995.04,17322.50,17255.60,,,0.61,0.51,0.60,0.51,2.29,2.24,,,8,19.15,12.01,65.01,31.94,35.56,49.19,40.34,41.90,14.80,17.79,18.62,0.44,0.79,0.78,6.94,4.27,13.42,7.61,4.89,5.19,44.58,27.25,28.17,,,,2.21,,3.01,139.49,3.77,5.93,7.38,2.92,7.27,11.61,-3.33,11.00,11.26,-2.55,70.82,62.73,-35.01,0,0,-5.93,11.50,11.40,-6.34,18.83,18.55,48.24,13.22,15.49,1.65,2.20,2.39,1.81,3.05,3.26,76.90,57.29,56.17,73.64,53.22,52.92,12.44,13.75,3.95,21.32,14.99,13.27,11.17,10.49,0.69,18.63,11.47,10.19,5.66,11.58,10.87,9.88,12.83,12.11,7.43,15.47,14.69,13.16,17.10,16.14,11.75,16.37,15.73,17.69,18.12,16.25
MGM,N,2280.82,2385.14,2332.24,2385.55,2485.01,2581.03,2630.40,,,,0.117,0.171,0.330,-0.697,-0.041,0.214,0.204,,,,20,2286.95,2645.73,2385.84,2734.56,9477.01,11126.80,,,0.12,0.19,0.21,0.21,0.66,0.76,,,2,26.08,12.50,0,13.30,18.23,1.88,30.63,27.14,1.88,11.48,14.90,1.87,1.09,1.17,1.36,2.07,4450.66,2.17,4.86,2.38,13.21,12.74,42737.94,,,,0,,0,0,-8.22,29.36,4.85,-8.09,6.79,0.59,10.90,13.10,13.01,382.56,77.80,-31.30,-130.31,0,0,0,18.97,19.45,44.83,20.02,15.13,217.26,87.88,71.38,1.27,2.36,1.34,1.32,2.59,1.77,38.06,42.32,24.78,36.29,42.60,23.78,13.93,15.02,9.66,12.76,17.27,10.51,1.56,11.90,9.33,0.81,14.49,10.64,0.56,8.70,6.92,0.28,11.16,4.90,0.73,11.34,11.47,0.35,14.81,16.69,-0.17,20.88,14.79,-1.91,23.47,21.29
KEY,N,0,0,0,0,0,0,0,,,,0.257,0.272,0.259,0.278,0.225,0.268,0.260,,,,18,1067.58,1093.83,1101.08,1124.18,4781.05,4531.04,,,0.27,0.29,0.29,0.31,1.15,1.24,,,4,9.13,9.20,12.37,13.23,16.68,18.82,16.18,21.27,8.40,10.88,11.14,1.25,1.51,1.49,2.62,4.24,4.40,1.06,2.51,2.55,9.62,11.44,13.78,,,,2.27,,22.00,26.15,3.44,10.00,16.36,1.49,14.87,17.79,-7.61,14.16,13.88,14.25,2.85,4.78,5.65,0,0,0,22.54,22.42,-15.79,33.85,32.04,106.44,46.25,57.17,0,0.00,0.09,0,0.00,2.59,0,0.20,4.56,0,0.18,4.20,29.95,40.78,39.93,28.04,45.97,37.81,22.26,32.69,32.22,21.14,35.85,27.91,1.01,2.72,2.86,0.93,2.84,0.45,0,0.01,0.67,0,0.01,0.78,8.87,20.68,19.69,8.18,25.05,23.65
AXP,N,8592.00,8698.00,8360.00,9486.00,8723.00,9074.00,8612.00,,,,1.238,1.423,1.480,1.390,1.400,1.434,1.331,,,,26,8195.71,8842.23,8089.06,9252.45,32492.40,37350.50,,,1.39,1.59,1.38,1.63,5.43,6.71,,,4,7.22,9.13,12.57,60.18,16.68,18.60,43.68,21.27,11.54,10.64,11.14,0.96,1.25,1.49,1.95,15.19,4.40,3.21,3.20,2.55,10.22,56.60,13.78,,,,1.67,,7.00,19.67,-1.50,13.77,16.36,-0.80,18.00,17.79,6.22,18.96,13.88,-11.60,49.16,4.78,2.96,0,0,29.35,20.84,22.42,9.13,12.73,32.04,473.93,322.01,57.17,0,0.47,0.09,0,1.27,2.59,72.46,42.98,4.56,72.92,49.48,4.20,24.79,15.26,39.93,21.72,-110.98,37.81,16.25,11.70,32.22,14.79,-115.16,27.91,3.71,-8.00,2.86,3.30,1.91,0.45,6.12,2.54,0.67,5.04,3.02,0.78,27.08,11.73,19.69,26.86,12.99,23.65
MSFT,O,20379.00,22180.00,21729.00,26470.00,23201.00,23382.00,20403.00,24519.00,18529.00,,0.573,-0.396,0.605,0.707,0.544,0.551,0.676,0.781,0.622,,29,22902.10,25480.40,26521.10,29444.30,92523.90,103968.00,98534.30,110772.00,0.72,0.79,0.80,0.91,2.75,3.14,3.12,3.43,6,9.13,6.55,37.28,32.34,16.77,29.89,51.42,31.69,9.65,18.56,13.01,0.95,0.78,0.94,4.88,151.92,7.57,5.72,6.39,2.37,24.27,3256.96,97.60,,,,2.60,,18.98,84.46,-12.16,20.70,9.55,-0.82,11.94,2.66,8.41,13.02,9.65,5.36,12.11,17.70,-41.70,0,0,-6.81,12.42,14.59,24.63,8.82,14.98,49.80,15.37,19.68,2.39,1.54,1.87,2.46,2.86,2.41,64.77,51.41,40.49,71.73,66.89,41.27,19.72,-59.29,10.98,30.13,23.01,12.60,13.52,-61.83,8.29,23.95,16.76,9.45,7.17,11.71,9.34,14.24,11.30,10.60,9.88,16.00,12.53,19.51,16.20,14.57,14.64,17.45,10.44,27.09,18.60,15.03
ACN,N,8465.98,8364.51,8275.07,7931.59,8343.26,8267.32,8240.18,7567.48,7799.70,,1.279,1.152,1.239,1.077,1.293,1.019,1.183,0.968,1.077,,25,8536.18,8783.68,7718.25,7865.85,32177.20,32660.70,34185.00,34658.10,1.47,1.46,1.18,1.18,5.21,5.22,5.72,5.69,5,9.86,9.87,22.01,25.70,22.02,19.79,30.39,76.67,14.65,13.09,14.38,1.12,0.79,0.90,2.07,3.04,2.70,11.49,3.21,2.44,17.47,17.80,13.60,,,,2.11,,12.64,46.05,1.47,9.57,4.41,1.91,24.36,5.85,7.34,6.83,10.11,-1.09,46.61,36.54,6.37,0,0,12.35,12.61,16.43,10.64,8.07,10.18,0.47,34.23,88.13,0,1.97,1.78,1.25,2.74,2.29,29.76,31.67,36.35,30.37,34.23,29.57,13.53,14.22,15.44,13.40,14.00,13.49,9.84,9.89,8.72,10.10,9.40,8.04,18.25,5.93,4.81,18.59,3.50,4.14,36.17,9.36,6.62,38.06,9.69,5.91,53.43,12.14,10.27,60.81,12.45,9.99
GILD,O,8295.00,8244.00,7594.00,7314.27,6041.83,6534.94,4998.96,,,,3.061,2.917,2.762,2.178,1.669,2.196,1.326,,,,20,7669.93,7719.10,7882.06,8194.70,31756.30,30139.00,,,2.93,2.83,3.00,2.98,12.01,10.84,,,3,13.13,25.70,9.27,42.90,35.56,41.39,105.57,41.90,10.91,52.50,18.62,0.92,0.74,0.78,4.64,113.69,13.42,8.42,21.06,5.19,8.11,23.26,28.17,,,,1.70,,0,7.51,37.29,23.68,7.38,51.95,37.55,11.61,28.84,24.08,11.26,83.38,-103.24,62.73,93.08,0,0,39.10,10.50,11.40,19.34,19.34,18.55,127.63,47.13,15.49,2.56,3.52,2.39,2.77,7.62,3.26,87.26,32.13,56.17,78.90,52.14,52.92,66.47,-765.02,3.95,50.78,-37.34,13.27,53.69,-773.27,0.69,37.61,-41.09,10.19,42.48,-0.87,10.87,24.63,0.57,12.11,53.39,-0.73,14.69,31.50,0.51,16.14,109.18,0.71,15.73,53.14,-85.75,16.25
VOYA,N,3760.80,3002.30,2635.90,2517.20,3215.50,2702.60,2674.20,,,,0.180,1.241,0.815,5.666,1.595,0.969,0.980,,,,9,278.80,0,291.54,0,1201.14,1419.90,,,0.76,0.87,0.84,0.92,3.37,3.69,,,2,11.70,8.40,4.67,23.02,16.68,14.74,70.89,21.27,4.70,11.83,11.14,0,1.11,1.49,0.67,5.01,4.40,0.56,1.44,2.55,0,29.04,13.78,,,,0.11,,0,0.53,16.96,0.55,16.36,8.63,9.64,17.79,0.22,7.16,13.88,-88.70,-18.20,4.78,40.58,0,0,0,12.50,22.42,-5.46,23.67,32.04,24.40,34.34,57.17,0,0.00,0.09,0,0.00,2.59,0,0.11,4.56,0,0.05,4.20,6.68,9.20,39.93,8.17,7.02,37.81,17.07,6.57,32.22,7.82,4.86,27.91,0.92,1.03,2.86,0,0.88,0.45,0,0.01,0.67,0,0.01,0.78,13.23,9.86,19.69,0,8.89,23.65
XOM,N,65679.00,71360.00,64758.00,82621.00,103566.00,105719.00,101760.00,,,,1.012,0.998,1.173,1.551,1.891,2.043,2.103,,,,10,62680.40,0,68048.60,0,254471.00,402502.00,,,0.77,1.42,0.94,1.43,3.70,6.74,,,1,-9.50,3.38,16.47,34.00,17.69,13.73,31.23,27.95,8.92,14.45,12.02,0.95,1.36,1.04,1.14,1.16,1.18,1.90,3.41,3.88,8.48,16.30,8.74,,,,3.75,,10.22,59.98,-36.58,-20.36,-10.55,-31.80,-15.29,-10.91,5.50,16.52,12.29,-46.49,-92.86,-29.66,-40.47,0,0,13.81,13.53,3.01,7.94,1.73,5.45,20.10,83.06,215.80,0.56,0.94,1.36,0.86,1.17,1.63,27.00,14.56,24.33,26.39,9.24,24.61,6.26,6.12,7.95,10.39,-32.76,3.36,7.21,4.98,1.76,8.95,-34.41,-1.71,5.91,4.97,5.33,11.73,5.30,8.99,7.33,8.86,8.58,15.18,9.53,12.86,11.35,12.90,11.81,23.16,14.04,15.41
UNH,N,41489.00,36263.00,35756.00,33433.00,32759.00,32574.00,31708.00,,,,1.651,1.641,1.458,1.491,1.631,1.421,1.118,,,,16,44524.00,37190.60,45334.40,37787.10,181138.00,151805.00,,,1.80,1.42,1.95,1.67,7.72,6.97,,,4,13.42,9.57,18.85,20.35,35.56,17.74,22.32,41.90,8.81,9.14,18.62,0.61,0.72,0.78,0.76,0.72,13.42,3.39,3.46,5.19,14.53,15.66,28.17,,,,1.70,,115.83,27.32,26.65,22.99,7.38,14.66,16.36,11.61,8.41,9.38,11.26,1.23,30.98,62.73,11.87,0,0,11.94,10.11,11.40,15.59,16.98,18.55,95.98,80.42,15.49,0,0.02,2.39,0,0.08,3.26,0,0.66,56.17,0,0.54,52.92,7.70,6.50,3.95,8.13,6.94,13.27,4.17,3.41,0.69,4.75,4.05,10.19,6.33,5.59,10.87,7.26,6.74,12.11,0,-0.07,14.69,0,0.27,16.14,18.58,16.37,15.73,18.25,16.69,16.25
AAL,O,10706.00,10827.00,9827.00,10160.00,11139.00,11355.00,9995.00,,,,2.487,2.408,1.300,0.824,1.281,1.176,0.654,,,,14,9666.96,10758.00,10812.00,12272.00,41437.10,46521.30,,,1.19,1.43,1.99,2.72,6.36,8.25,,,2,8.21,64.70,6.03,4.39,22.02,13.66,62.23,76.67,13.66,10.56,14.38,0,0.40,0.90,0.64,0.44,2.70,7.21,1.97,2.44,4.14,7.44,13.60,,,,0.94,,0,5.75,-3.89,-0.75,4.41,4.17,3.39,5.85,16.45,12.93,10.11,94.10,222.02,36.54,226.50,0,0,0,0.26,16.43,28.41,9.85,10.18,551.25,124.38,88.13,0.90,0.87,1.78,0.97,0.95,2.29,35.46,47.05,36.35,23.19,35.18,29.57,14.44,3.47,15.44,0.06,0.33,13.49,11.86,1.34,8.72,-2.33,-0.27,8.04,10.61,0.66,4.81,-2.20,-0.68,4.14,15.19,-1.99,6.62,-3.33,-1.63,5.91,112.81,-1.23,10.27,0,-0.63,9.99
AAP,N,2295.20,2370.04,3038.23,2237.21,2289.46,2347.70,2969.50,,,,1.627,2.028,2.004,1.145,1.659,1.894,2.014,,,,22,3056.07,3263.98,2392.02,2506.42,9937.72,10465.40,,,2.75,2.94,2.56,2.71,9.24,10.04,,,5,12.63,17.75,22.12,28.12,18.23,23.65,28.84,27.14,13.63,9.79,14.90,0.87,0.78,1.17,1.11,1.05,4450.66,4.57,2.46,2.38,14.19,16.90,42737.94,,,,0.16,,0.00,3.52,0.25,8.54,4.85,10.26,3.93,0.59,12.71,6.73,13.01,-1.88,127.61,-31.30,9.09,0,0,18.85,15.10,19.45,3.44,18.32,15.13,53.61,48.51,71.38,0.22,1.52,1.34,1.27,2.34,1.77,45.44,29.02,24.78,48.60,28.37,23.78,8.76,5.51,9.66,9.87,6.09,10.51,5.06,3.73,9.33,5.81,3.97,10.64,6.22,5.58,6.92,8.87,5.67,4.90,11.91,8.68,11.47,18.75,9.32,16.69,23.11,11.35,14.79,32.09,11.83,21.29
BID,N,137.99,332.01,155.68,351.22,94.20,335.82,156.81,,,,-0.263,0.958,0.074,1.061,-0.402,1.113,-0.088,,,,6,165.01,0,350.96,0,962.87,1040.53,,,0.13,0,1.22,0,2.25,3.09,,,,,,14.07,32.02,16.77,25.87,59.30,31.69,10.59,21.51,13.01,2.19,1.00,0.94,1.76,7.66,7.57,2.19,5.86,2.37,12.15,26.08,97.60,,,,1.55,,73.67,21.34,46.49,27.55,9.55,5.49,25.27,2.66,14.10,20.09,9.65,34.47,70.27,17.70,-4.40,0,0,0,19.82,14.59,-35.96,29.84,14.98,152.88,41.42,19.68,2.35,0.46,1.87,2.84,2.18,2.41,78.86,57.05,40.49,86.94,73.71,41.27,24.79,34.77,10.98,28.46,33.25,12.60,12.55,26.08,8.29,16.49,22.27,9.45,4.94,13.80,9.34,5.54,12.90,10.60,6.60,19.79,12.53,9.13,17.68,14.57,15.89,24.39,10.44,15.02,21.28,15.03
MCD,N,6615.10,6497.70,5958.90,6572.20,6987.10,7181.70,6700.30,,,,1.401,1.256,0.840,1.129,1.086,1.397,1.210,,,,28,5819.37,6638.89,6167.81,6991.52,24197.80,27086.00,,,1.14,1.31,1.37,1.51,5.34,5.88,,,3,8.30,4.62,25.54,40.36,18.23,19.42,287.88,27.14,16.47,22.45,14.90,0.51,0.55,1.17,4.23,2.86,4450.66,13.05,8.37,2.38,18.10,25.10,42737.94,,,,3.01,,9.86,73.23,-5.32,13.10,4.85,-8.29,10.54,0.59,3.83,9.16,13.01,28.96,207.23,-31.30,-9.12,0,0,3.26,9.01,19.45,5.76,13.02,15.13,216.50,77.24,71.38,1.49,1.16,1.34,1.52,1.32,1.77,38.05,50.27,24.78,39.12,48.52,23.78,27.36,5.79,9.66,30.79,6.70,10.51,17.24,3.92,9.33,19.57,4.45,10.64,12.82,5.92,6.92,15.52,6.22,4.90,14.30,8.69,11.47,17.12,8.88,16.69,40.31,12.42,14.79,35.59,12.27,21.29
C,N,0,0,0,0,0,0,0,,,,1.358,1.512,1.509,0.060,0.885,0.034,1.223,,,,23,19192.00,20741.10,18976.70,20466.60,75489.80,82285.30,,,1.50,1.53,1.44,1.49,5.74,5.91,,,3,33.58,11.11,11.66,13.23,16.68,24.54,16.18,21.27,7.30,10.88,11.14,1.95,1.51,1.49,2.03,4.24,4.40,0.75,2.51,2.55,8.94,11.44,13.78,,,,0.39,,-16.74,2.72,-5.14,10.00,16.36,-4.32,14.87,17.79,5.16,14.16,13.88,53.54,2.85,4.78,55.65,0,0,0,22.54,22.42,8.38,33.85,32.04,182.40,46.25,57.17,0,0.00,0.09,0,0.00,2.59,0,0.20,4.56,0,0.18,4.20,28.34,40.78,39.93,18.10,45.97,37.81,18.95,32.69,32.22,13.21,35.85,27.91,0.78,2.72,2.86,0.54,2.84,0.45,0,0.01,0.67,0,0.01,0.78,6.57,20.68,19.69,5.37,25.05,23.65
CRM,N,1711.97,1634.68,1511.17,1444.61,1383.66,1318.55,1226.77,1145.24,1076.03,957.09,-0.038,-0.001,0.006,-0.103,-0.062,-0.099,-0.158,-0.192,-0.207,0.123,44,1860.94,1812.79,1981.90,1907.85,6648.66,6513.89,8077.76,7917.34,0.21,0.21,0.24,0.23,0.75,0.69,0.99,0.93,6,31.58,30.15,0,21.86,16.77,273.60,28.50,31.69,273.60,17.71,13.01,1.48,0.45,0.94,8.26,3.62,7.57,10.96,5.06,2.37,122.14,17.02,97.60,,,,0,,0,0,23.73,12.79,9.55,24.20,11.06,2.66,32.71,18.19,9.65,38.74,8.52,17.70,73.35,0,0,0,18.04,14.59,50.55,15.18,14.98,43.20,12.95,19.68,0,2.81,1.87,0.74,2.94,2.41,75.14,55.38,40.49,77.14,56.03,41.27,0.97,17.48,10.98,-2.92,19.97,12.60,-1.39,15.27,8.29,-4.31,16.44,9.45,-0.86,17.45,9.34,-2.48,18.99,10.60,-1.34,23.35,12.53,-4.60,25.17,14.57,-2.05,24.95,10.44,-6.64,26.93,15.03
PG,N,16527.00,17790.00,18142.00,20161.00,18771.00,19596.00,19641.00,21099.00,20174.00,,0.957,0.216,0.846,1.022,0.930,0.870,0.865,1.118,0.997,,22,17067.60,21318.30,17568.30,22429.70,66159.10,84165.30,67952.10,87181.60,1.10,1.23,1.14,1.38,3.75,4.69,4.24,5.06,4,8.35,8.10,26.11,71.83,41.55,25.57,34.64,35.99,16.50,19.11,23.84,0.50,0.51,0.54,2.97,7.00,5.67,3.53,5.60,37.21,18.51,53.66,36.90,,,,3.34,,7.55,61.50,-11.95,9.51,3.02,-8.20,10.74,6.34,-0.33,9.77,12.73,2.85,4.74,-9.34,-19.60,0,0,-2.46,10.35,12.55,4.03,3.27,15.11,48.95,34.90,66.54,0.96,0.87,0.60,1.13,1.17,1.09,50.13,52.11,38.10,49.94,40.50,38.02,16.22,13.18,17.63,17.21,10.57,19.23,12.21,9.90,12.85,13.00,8.81,14.25,6.63,6.26,29.13,7.65,15.52,33.45,8.76,10.28,70.64,9.72,36.94,71.76,13.46,12.20,81.35,15.53,47.82,78.89
SBUX,O,4914.80,4881.20,4563.50,4803.30,4180.70,4153.70,3873.80,4239.60,,,0.434,0.413,0.326,0.648,0.386,0.337,0.279,0.353,,,24,5899.89,5962.08,5043.57,4976.14,21633.50,21071.50,23487.00,22938.80,0.54,0.55,0.40,0.40,1.89,1.83,2.18,2.15,5,16.64,15.73,32.94,40.36,18.23,7107.54,287.88,27.14,23.04,22.45,14.90,0.79,0.55,1.17,4.65,2.86,4450.66,15.32,8.37,2.38,24.13,25.10,42737.94,,,,1.33,,30.45,36.85,17.56,13.10,4.85,16.51,10.54,0.59,12.35,9.16,13.01,12.24,207.23,-31.30,34.21,0,0,24.11,9.01,19.45,24.22,13.02,15.13,40.35,77.24,71.38,0.83,1.16,1.34,1.19,1.32,1.77,31.12,50.27,24.78,28.96,48.52,23.78,20.51,5.79,9.66,13.96,6.70,10.51,14.40,3.92,9.33,9.90,4.45,10.64,23.79,5.92,6.92,15.80,6.22,4.90,33.44,8.69,11.47,23.46,8.88,16.69,49.73,12.42,14.79,31.11,12.27,21.29
PSX,N,25792.00,28512.00,22778.00,34963.00,40417.00,45549.00,40283.00,,,,2.895,1.840,1.785,2.047,2.085,1.511,1.469,,,,5,18288.70,25741.90,20320.80,26986.80,102882.00,143349.00,,,1.48,1.40,2.11,1.80,7.33,7.78,,,3,7.28,14.05,9.55,34.00,17.69,13.04,31.23,27.95,8.30,14.45,12.02,1.57,1.36,1.04,0.39,1.16,1.18,1.88,3.41,3.88,7.47,16.30,8.74,,,,2.74,,0,24.35,-36.19,-20.36,-10.55,-33.82,-15.29,-10.91,7.42,16.52,12.29,38.85,-92.86,-29.66,33.51,0,0,61.96,13.53,3.01,8.92,1.73,5.45,38.59,83.06,215.80,1.20,0.94,1.36,1.70,1.17,1.63,23.27,14.56,24.33,13.85,9.24,24.61,3.97,6.12,7.95,1.21,-32.76,3.36,4.26,4.98,1.76,2.03,-34.41,-1.71,9.63,4.97,5.33,7.48,5.30,8.99,12.70,8.86,8.58,10.16,9.53,12.86,21.00,12.90,11.81,14.84,14.04,15.41
CSCO,O,12682.00,12843.00,12137.00,11936.00,12245.00,12357.00,11545.00,11155.00,12085.00,,0.475,0.453,0.473,0.465,0.355,0.433,0.421,0.268,0.368,,33,12587.50,13163.50,11784.90,12374.90,49308.50,50662.50,51124.80,53453.90,0.59,0.59,0.54,0.54,2.27,2.24,2.40,2.42,1,10.00,5.50,14.55,19.56,16.77,17.46,72.55,31.69,10.54,14.54,13.01,1.23,1.04,0.94,2.78,1.23,7.57,2.30,1.84,2.37,11.55,12.09,97.60,,,,3.09,,0,43.63,3.57,4.04,9.55,4.85,6.18,2.66,4.19,4.07,9.65,34.05,8.76,17.70,26.36,0,0,5.61,19.54,14.59,4.01,5.71,14.98,41.05,38.94,19.68,3.28,1.75,1.87,3.35,2.18,2.41,60.85,32.93,40.49,60.51,31.20,41.27,23.20,7.30,10.98,20.94,-0.02,12.60,19.32,5.21,8.29,17.66,-2.12,9.45,8.88,4.70,9.34,8.57,3.72,10.60,11.04,2.58,12.53,10.77,5.70,14.57,16.43,10.37,10.44,15.53,7.91,15.03
APEI,O,76.29,80.26,85.44,91.30,84.71,85.46,88.55,,,,0.406,0.418,0.507,0.676,0.509,0.561,0.586,,,,4,79.89,100.00,76.25,95.30,310.58,394.19,,,0.47,0.66,0.39,0.63,1.62,2.68,,,,,,9.28,19.54,41.55,23.49,30.48,35.99,15.40,12.27,23.84,0.85,0.61,0.54,0.92,4.34,5.67,1.29,3.80,37.21,5.78,23.71,36.90,,,,0,,0,0.00,-9.94,18.66,3.02,-2.45,7.14,6.34,18.63,4.31,12.73,-20.40,-25.85,-9.34,-7.33,0,0,12.97,1.76,12.55,16.83,3.81,15.11,0.00,39.59,66.54,0,1.35,0.60,2.46,2.25,1.09,63.78,47.70,38.10,64.36,36.79,38.02,16.56,7.53,17.63,21.70,6.56,19.23,10.37,3.19,12.85,13.51,3.71,14.25,11.45,3.03,29.13,18.56,3.35,33.45,14.01,4.84,70.64,24.08,4.90,71.76,14.89,5.80,81.35,25.52,6.76,78.89
FB,O,4501.00,4042.00,3543.00,3851.00,3203.00,2910.00,2502.00,,,,0.313,0.252,0.181,0.250,0.305,0.302,0.246,,,,48,4985.54,4743.97,5635.45,5238.41,24029.80,22503.40,,,0.58,0.55,0.68,0.61,2.86,2.56,,,8,32.05,37.06,105.14,32.02,16.77,1802.28,59.30,31.69,70.70,21.51,13.01,0.87,1.00,0.94,18.57,7.66,7.57,7.14,5.86,2.37,71.25,26.08,97.60,,,,0,,0,0.00,40.52,27.55,9.55,42.29,25.27,2.66,74.21,20.09,9.65,16.00,70.27,17.70,-2.69,0,0,80.84,19.82,14.59,123.27,29.84,14.98,0.30,41.42,19.68,0,0.46,1.87,10.68,2.18,2.41,83.09,57.05,40.49,78.32,73.71,41.27,30.11,34.77,10.98,35.75,33.25,12.60,17.74,26.08,8.29,19.60,22.27,9.45,8.00,13.80,9.34,0,12.90,10.60,8.36,19.79,12.53,0,17.68,14.57,8.97,24.39,10.44,0,21.28,15.03
