symbol,exg,saleqtr0,saleqtr-1,saleqtr-2,saleqtr-3,saleqtr-4,saleqtr-5,saleqtr-6,saleqtr-7,saleqtr-8,saleqtr-9,epsqtr0,epsqtr-1,epsqtr-2,epsqtr-3,epsqtr-4,epsqtr-5,epsqtr-6,epsqtr-7,epsqtr-8,epsqtr-9,numest,saleq1e,saleq1ey,saleq2e,saleq2ey,saley1e,saley1ey,saley2e,saley2ey,epsq1e,epsq1ey,epsq2e,epsq2ey,epsy1e,epsy1ey,epsy2e,epsy2ey,numltgr,ltgre,ltgrey,cppettm,indupettm,sectorpettm,cppehigh5y,indupehigh5y,sectorpehigh5y,cppelow5y,indupelow5y,sectorpelow5y,cpbeta,indubeta,sectorbeta,cppsttm,indupsttm,sectorpsttm,cppbmrq,indupbmrq,sectorpbmrq,cppcfttm,indupcfttm,sectorpcfttm,cppfcfttm,indupfcfttm,sectorpfcfttm,divyield,div5y,div5ygr,payoutratio,cpsalemrqyoy,indusalemrqyoy,sectorsalemrqyoy,cppsalettmyoy,indusalettmyoy,sectorsalettmyoy,cpsale5ygr,indusale5ygr,sectorsale5ygr,cpepsmrqyoy,induepsmrqyoy,sectorepsmrqyoy,cpepsttmyoy,induepsttmyoy,sectorepsttmyoy,cpeps5ygr,indueps5ygr,sectoreps5ygr,cpcap5ygr,inducap5ygr,sectorcap5ygr,cpdebt2equity,indudebt2equity,secdebt2equity,cpquira,induquira,secquira,cpcurra,inducura,seccurra,cpgm,indugm,sectorgm,cpgm5y,indugm5y,sectorgm5y,cpom,induom,sectorom,cpom5y,induom5y,sectorom5y,cpnm,indunm,sectornm,cpnm5y,indunm5y,sectornm5y,cproa,induroa,sectorroa,cproa5y,induroa5y,sectorroa5y,cproi,induroi,sectorroi,cproi5y,induroi5y,sectorroi5y,cproe,induroe,sectorroe,cproe5y,induroe5y,sectorroe5y
JAZZ,O,340.87,333.75,309.30,328.14,306.58,291.23,246.92,,,,1.393,1.397,1.123,1.132,0.411,0.700,-1.583,,,,15,356.35,0,379.85,0,1543.02,1641.83,,,2.63,0,2.84,0,11.46,12.41,,,5,17.50,24.70,27.86,31.94,35.56,175.58,40.34,41.90,12.27,17.79,18.62,0.61,0.79,0.78,6.59,4.27,13.42,5.53,4.89,5.19,19.47,27.25,28.17,,,,0,,0,0.00,11.18,5.93,7.38,21.43,7.27,11.61,55.63,11.00,11.26,238.82,70.82,62.73,1088.69,0,0,0,11.50,11.40,43.12,18.83,18.55,82.49,13.22,15.49,3.78,2.20,2.39,3.87,3.05,3.26,91.82,57.29,56.17,89.42,53.22,52.92,39.23,13.75,3.95,29.31,14.99,13.27,25.03,10.49,0.69,22.50,11.47,10.19,9.64,11.58,10.87,10.96,12.83,12.11,10.51,15.47,14.69,12.21,17.10,16.14,22.62,16.37,15.73,21.09,18.12,16.25
LMT,N,11461.00,11643.00,10111.00,12530.00,11114.00,11306.00,10650.00,,,,2.766,2.939,2.742,2.820,2.759,2.760,2.870,,,,18,10717.30,10832.00,11741.20,11764.00,49166.40,44858.30,,,2.78,2.98,3.07,3.27,12.21,12.78,,,4,7.37,9.72,19.27,44.65,22.02,17.18,60.87,76.67,9.83,11.30,14.38,0.63,1.02,0.90,1.46,5.35,2.70,23.72,2.97,2.44,14.60,36.06,13.60,,,,3.04,,18.60,62.67,3.12,13.30,4.41,2.56,13.86,5.85,0.78,6.25,10.11,0.24,23.48,36.54,13.67,0,0,8.00,14.18,16.43,-6.24,11.42,10.18,299.04,56.92,88.13,0.91,0.53,1.78,1.16,0.85,2.29,11.61,11.03,36.35,9.64,33.82,29.57,12.02,12.79,15.44,9.56,10.33,13.49,7.82,8.97,8.72,6.33,10.37,8.04,9.34,2.18,4.81,7.93,5.60,4.14,13.90,3.85,6.62,11.56,10.80,5.91,96.82,11.59,10.27,110.37,18.92,9.99
LITB,N,78.45,87.61,112.13,98.96,89.77,81.54,,,,,-0.059,-0.225,-0.092,-0.063,-0.057,-0.093,,,,,1,,,,,406.66,578.64,,,,,,,0.07,-0.46,,,,,,0,59.15,18.23,0,62.91,27.14,0,15.05,14.90,0,0.82,1.17,0.38,2.88,4450.66,14.38,6.25,2.38,0,30.56,42737.94,,,,0,,0,0,-12.62,15.65,4.85,18.53,13.88,0.59,71.14,10.55,13.01,-3.62,-444.03,-31.30,-49.01,0,0,0,18.18,19.45,45.06,14.43,15.13,0.00,76.81,71.38,0.90,1.11,1.34,1.04,1.51,1.77,35.89,40.04,24.78,39.24,36.18,23.78,-11.43,7.43,9.66,-8.08,6.19,10.51,-11.22,4.95,9.33,-8.03,4.02,10.64,-42.92,6.55,6.92,0,6.05,4.90,-112.09,10.07,11.47,0,10.10,16.69,-112.09,11.86,14.79,0,11.93,21.29
MA,N,2530.00,2390.00,2230.00,2416.00,2490.00,2368.00,2177.00,,,,0.862,0.807,0.885,0.691,0.875,0.796,0.732,,,,35,2470.08,2713.71,2679.31,2937.56,10817.70,11773.20,,,0.94,0.99,0.99,1.08,3.90,4.29,,,3,14.61,12.40,30.00,25.70,22.02,32.58,30.39,76.67,15.93,13.09,14.38,0.90,0.79,0.90,11.43,3.04,2.70,17.47,3.21,2.44,26.82,17.80,13.60,,,,0.78,,52.20,19.49,1.61,9.57,4.41,4.42,24.36,5.85,13.19,6.83,10.11,-1.45,46.61,36.54,11.29,0,0,22.57,12.61,16.43,19.10,8.07,10.18,23.86,34.23,88.13,0,1.97,1.78,1.62,2.74,2.29,0,31.67,36.35,0,34.23,29.57,52.15,14.22,15.44,50.75,14.00,13.49,38.88,9.89,8.72,35.35,9.40,8.04,25.39,5.93,4.81,22.98,3.50,4.14,42.69,9.36,6.62,38.31,9.69,5.91,58.26,12.14,10.27,43.24,12.45,9.99
COST,O,27220.00,35778.00,26101.00,27454.00,26866.00,35523.00,25794.00,26306.00,25017.00,,1.087,1.733,1.164,1.350,1.122,1.577,1.068,1.046,0.961,,23,29637.30,31608.30,28735.60,30473.10,122203.00,130557.00,133362.00,142987.00,1.25,1.29,1.30,1.29,5.52,5.70,6.22,6.40,3,8.17,9.00,30.27,28.30,18.23,26.07,34.33,27.14,22.63,16.09,14.90,0.54,0.89,1.17,0.61,1.23,4450.66,6.55,4.98,2.38,20.09,18.81,42737.94,,,,0.99,,14.42,122.19,1.32,11.41,4.85,1.80,9.58,0.59,8.31,9.53,13.01,-3.05,14.07,-31.30,10.85,0,0,12.92,14.64,19.45,17.80,15.47,15.13,56.47,55.27,71.38,0.46,0.50,1.34,1.03,1.12,1.77,13.09,24.37,24.78,12.65,23.76,23.78,3.11,6.54,9.66,2.89,6.32,10.51,2.05,4.60,9.33,1.89,4.36,10.64,6.83,8.85,6.92,6.77,8.12,4.90,13.54,14.18,11.47,12.45,13.11,16.69,20.35,17.95,14.79,16.57,17.09,21.29
CIEN,N,691.97,602.93,621.60,529.16,590.96,603.56,560.06,533.70,,,-0.103,0.177,0.161,-0.174,-0.287,0.152,-0.096,-0.153,,,20,576.06,626.51,643.54,654.95,2650.17,2669.63,2885.97,2572.91,0.14,0.28,0.31,0.34,1.43,1.44,1.78,2.00,3,16.67,16.67,337.80,19.56,16.77,248.51,72.55,31.69,248.51,14.54,13.01,2.17,1.04,0.94,1.15,1.23,7.57,4.52,1.84,2.37,19.04,12.09,97.60,,,,0,,0,0.00,17.09,4.04,9.55,6.88,6.18,2.66,14.61,4.07,9.65,64.08,8.76,17.70,115.96,0,0,0,19.54,14.59,3.94,5.71,14.98,206.01,38.94,19.68,2.51,1.75,1.87,2.79,2.18,2.41,43.98,32.93,40.49,41.59,31.20,41.27,4.11,7.30,10.98,-1.22,-0.02,12.60,0.48,5.21,8.29,-4.37,-2.12,9.45,0.49,4.70,9.34,-4.49,3.72,10.60,0.70,2.58,12.53,-6.47,5.70,14.57,4.23,10.37,10.44,-279.02,7.91,15.03
BAC,N,0,0,0,0,0,0,0,,,,0.370,0.451,0.271,0.259,-0.045,0.187,-0.049,,,,16,22029.60,23207.20,21965.80,23336.70,88071.00,94433.90,,,0.33,0.38,0.41,0.45,1.56,1.72,,,2,9.50,8.00,12.46,13.23,16.68,678.88,16.18,21.27,17.24,10.88,11.14,1.70,1.51,1.49,2.12,4.24,4.40,0.75,2.51,2.55,10.18,11.44,13.78,,,,1.19,,24.57,13.98,-6.62,10.00,16.36,-6.09,14.87,17.79,-8.17,14.16,13.88,927.72,2.85,4.78,255.46,0,0,0,22.54,22.42,-12.33,33.85,32.04,184.07,46.25,57.17,0,0.00,0.09,0,0.00,2.59,0,0.20,4.56,0,0.18,4.20,27.37,40.78,39.93,5.33,45.97,37.81,19.63,32.69,32.22,4.27,35.85,27.91,0.76,2.72,2.86,0.18,2.84,0.45,0,0.01,0.67,0,0.01,0.78,6.60,20.68,19.69,1.23,25.05,23.65
STI,N,0,0,0,0,0,0,0,,,,1.001,0.894,0.783,0.718,1.056,0.723,0.732,,,,23,2026.97,2106.13,2097.87,2172.96,8413.26,8792.38,,,0.81,0.77,0.89,0.88,3.53,3.56,,,3,5.47,12.18,12.62,13.23,16.68,18.87,16.18,21.27,7.90,10.88,11.14,1.36,1.51,1.49,2.72,4.24,4.40,0.98,2.51,2.55,8.49,11.44,13.78,,,,2.24,,26.05,25.75,-1.48,10.00,16.36,-2.38,14.87,17.79,-4.31,14.16,13.88,-5.23,2.85,4.78,3.58,0,0,0,22.54,22.42,5.48,33.85,32.04,52.34,46.25,57.17,0,0.00,0.09,0,0.00,2.59,0,0.20,4.56,0,0.18,4.20,31.87,40.78,39.93,17.63,45.97,37.81,23.03,32.69,32.22,14.07,35.85,27.91,0.99,2.72,2.86,0.68,2.84,0.45,0,0.01,0.67,0,0.01,0.78,8.07,20.68,19.69,5.43,25.05,23.65
RHT,N,523.58,504.15,481.00,463.94,455.89,445.90,423.75,400.40,396.54,374.42,0.252,0.275,0.258,0.255,0.255,0.245,0.197,0.235,0.272,0.213,30,554.65,549.40,578.11,570.45,2046.25,2030.85,2354.45,2311.23,0.50,0.49,0.54,0.53,1.86,1.86,2.18,2.17,6,17.13,15.40,79.57,32.34,16.77,75.05,51.42,31.69,63.54,18.56,13.01,1.13,0.78,0.94,7.67,151.92,7.57,11.26,6.39,2.37,56.04,3256.96,97.60,,,,0,,0,0.00,14.85,20.70,9.55,14.30,11.94,2.66,19.05,13.02,9.65,-1.44,12.11,17.70,11.57,0,0,16.13,12.42,14.59,9.35,8.82,14.98,54.23,15.37,19.68,0,1.54,1.87,1.35,2.86,2.41,84.86,51.41,40.49,84.54,66.89,41.27,14.39,-59.29,10.98,15.37,23.01,12.60,9.84,-61.83,8.29,11.39,16.76,9.45,5.21,11.71,9.34,5.67,11.30,10.60,7.82,16.00,12.53,8.61,16.20,14.57,15.05,17.45,10.44,10.96,18.60,15.03
BMRN,O,208.90,250.52,203.26,230.85,176.55,191.79,151.55,,,,-0.565,-0.511,-0.428,-0.471,0.048,-0.229,-0.265,,,,19,260.31,0,291.29,0,1176.42,1080.05,,,-0.89,0,-0.47,0,-2.09,-0.97,,,,,,0,31.94,35.56,15.57,40.34,41.90,15.57,17.79,18.62,0.76,0.79,0.78,18.91,4.27,13.42,7.37,4.89,5.19,0,27.25,28.17,,,,0,,0,0,18.33,5.93,7.38,34.01,7.27,11.61,18.26,11.00,11.26,-1284.57,70.82,62.73,-124.27,0,0,0,11.50,11.40,5.76,18.83,18.55,29.13,13.22,15.49,2.34,2.20,2.39,3.01,3.05,3.26,82.63,57.29,56.17,81.98,53.22,52.92,-30.32,13.75,3.95,-16.11,14.99,13.27,-34.72,10.49,0.69,-10.42,11.47,10.19,-10.23,11.58,10.87,-3.37,12.83,12.11,-11.35,15.47,14.69,-3.69,17.10,16.14,-16.32,16.37,15.73,-5.71,18.12,16.25
